section,claim,value,display,source,calculation
3.1,"Brazil homicide rate, 2016",30.1193623667804,"30,1",fig_01_distribuicao_mundial_homicidios.csv,Official UNODC annual rate for Brazil
3.1,"Brazil percentile, 2016",91.86046511627907,"91,9",fig_01_distribuicao_mundial_homicidios.csv,Unweighted average-rank percentile
3.1,"Brazil homicide rate, 2024",18.6911635044563,"18,7",fig_01_distribuicao_mundial_homicidios.csv,Official UNODC annual rate for Brazil
3.1,"Brazil percentile, 2024",86.04651162790698,"86,0",fig_01_distribuicao_mundial_homicidios.csv,Unweighted average-rank percentile
3.1,UNODC 2016/2024 common reporting-unit sample,87,87,fig_01_distribuicao_mundial_homicidios.csv,Distinct common ISO3 units
3.2,"Estupro: count change, 2016--2025",-40.833457359726154,"-40,8",fig_02a_crimes_registrados.csv,100 * (count_2025 / count_2016 - 1)
3.2,"Estupro: count in thousands, 2016",33.595,"33,6",fig_02a_crimes_registrados.csv,"Reported victims / 1,000"
3.2,"Estupro: count in thousands, 2025",19.877,"19,9",fig_02a_crimes_registrados.csv,"Reported victims / 1,000"
3.2,"Estupro: absolute count change in thousands, 2016--2025",-13.718,"-13,7",fig_02a_crimes_registrados.csv,"(count_2025 - count_2016) / 1,000"
3.2,"Estupro de vulnerável: count change, 2016--2025",144.63331154097605,"144,6",fig_02a_crimes_registrados.csv,100 * (count_2025 / count_2016 - 1)
3.2,"Estupro de vulnerável: count in thousands, 2016",26.003,"26,0",fig_02a_crimes_registrados.csv,"Reported victims / 1,000"
3.2,"Estupro de vulnerável: count in thousands, 2025",63.612,"63,6",fig_02a_crimes_registrados.csv,"Reported victims / 1,000"
3.2,"Estupro de vulnerável: absolute count change in thousands, 2016--2025",37.609,"37,6",fig_02a_crimes_registrados.csv,"(count_2025 - count_2016) / 1,000"
3.2,"Feminicídio: count change, 2016--2025",93.0778739184178,"93,1",fig_02a_crimes_registrados.csv,100 * (count_2025 / count_2016 - 1)
3.2,"Feminicídio: count in thousands, 2016",0.809,"0,8",fig_02a_crimes_registrados.csv,"Reported victims / 1,000"
3.2,"Feminicídio: count in thousands, 2025",1.562,"1,6",fig_02a_crimes_registrados.csv,"Reported victims / 1,000"
3.2,"Feminicídio: absolute count change in thousands, 2016--2025",0.753,"0,8",fig_02a_crimes_registrados.csv,"(count_2025 - count_2016) / 1,000"
3.2,"Homicídio doloso: count change, 2016--2025",-38.44048712786129,"-38,4",fig_02a_crimes_registrados.csv,100 * (count_2025 / count_2016 - 1)
3.2,"Homicídio doloso: count in thousands, 2016",51.157,"51,2",fig_02a_crimes_registrados.csv,"Reported victims / 1,000"
3.2,"Homicídio doloso: count in thousands, 2025",31.492,"31,5",fig_02a_crimes_registrados.csv,"Reported victims / 1,000"
3.2,"Homicídio doloso: absolute count change in thousands, 2016--2025",-19.665,"-19,7",fig_02a_crimes_registrados.csv,"(count_2025 - count_2016) / 1,000"
3.2,"Homicídio doloso rate, 2016",25.092714457863682,"25,1",fig_02b_taxas_criminalidade.csv,Sinesp count / matched IBGE population
3.2,"Homicídio doloso rate, 2025",14.75580872564123,"14,8",fig_02b_taxas_criminalidade.csv,Sinesp count / matched IBGE population
3.2,"Latrocínio: count change, 2016--2025",-66.99710863279637,"-67,0",fig_02a_crimes_registrados.csv,100 * (count_2025 / count_2016 - 1)
3.2,"Latrocínio: count in thousands, 2016",2.421,"2,4",fig_02a_crimes_registrados.csv,"Reported victims / 1,000"
3.2,"Latrocínio: count in thousands, 2025",0.799,"0,8",fig_02a_crimes_registrados.csv,"Reported victims / 1,000"
