year,crime,measurement_concept,geographic_sample,reporting_ufs,population_coverage_pct,population,count,rate_per_100k,plotted_value,plot_unit
2016,Intentional homicide,victims,Brasil — 27 UFs,27,100.0,203871925,51157,25.092714457863682,51157,victims
2017,Intentional homicide,victims,Brasil — 27 UFs,27,100.0,205211557,55881,27.230922476749203,55881,victims
2018,Intentional homicide,victims,Brasil — 27 UFs,27,100.0,206529038,48517,23.49161186718935,48517,victims
2019,Intentional homicide,victims,Brasil — 27 UFs,27,100.0,207900099,39228,18.868677883602164,39228,victims
2020,Intentional homicide,victims,Brasil — 27 UFs,27,100.0,209164889,41595,19.886224786034717,41595,victims
2021,Intentional homicide,victims,Brasil — 27 UFs,27,100.0,210103642,39286,18.698390768495102,39286,victims
2022,Intentional homicide,victims,Brasil — 27 UFs,27,100.0,210862983,38578,18.295292730445723,38578,victims
2023,Intentional homicide,victims,Brasil — 27 UFs,27,100.0,211695158,37339,17.6380982695882,37339,victims
2024,Intentional homicide,victims,Brasil — 27 UFs,27,100.0,212583750,35136,16.528074229568347,35136,victims
2025,Intentional homicide,victims,Brasil — 27 UFs,27,100.0,213421037,31492,14.75580872564123,31492,victims
2016,Robbery followed by death,victims,Brasil — 27 UFs,27,100.0,203871925,2421,1.187510246935668,2421,victims
2017,Robbery followed by death,victims,Brasil — 27 UFs,27,100.0,205211557,2349,1.144672373398541,2349,victims
2018,Robbery followed by death,victims,Brasil — 27 UFs,27,100.0,206529038,1988,0.9625765070382015,1988,victims
2019,Robbery followed by death,victims,Brasil — 27 UFs,27,100.0,207900099,1603,0.7710434038802454,1603,victims
2020,Robbery followed by death,victims,Brasil — 27 UFs,27,100.0,209164889,1461,0.6984919921239745,1461,victims
2021,Robbery followed by death,victims,Brasil — 27 UFs,27,100.0,210103642,1458,0.6939432301701843,1458,victims
2022,Robbery followed by death,victims,Brasil — 27 UFs,27,100.0,210862983,1241,0.5885338347888212,1241,victims
2023,Robbery followed by death,victims,Brasil — 27 UFs,27,100.0,211695158,1004,0.47426687010007096,1004,victims
2024,Robbery followed by death,victims,Brasil — 27 UFs,27,100.0,212583750,967,0.4548795474724667,967,victims
2025,Robbery followed by death,victims,Brasil — 27 UFs,27,100.0,213421037,799,0.3743773393810283,799,victims
2016,Attempted homicide,victims,Brasil — 27 UFs,27,100.0,203871925,45002,22.073662177859948,45002,victims
2017,Attempted homicide,victims,Brasil — 27 UFs,27,100.0,205211557,43316,21.10797297834449,43316,victims
2018,Attempted homicide,victims,Brasil — 27 UFs,27,100.0,206529038,41399,20.045123146315145,41399,victims
2019,Attempted homicide,victims,Brasil — 27 UFs,27,100.0,207900099,42354,20.372284671206433,42354,victims
2020,Attempted homicide,victims,Brasil — 27 UFs,27,100.0,209164889,38296,18.3090002261326,38296,victims
2021,Attempted homicide,victims,Brasil — 27 UFs,27,100.0,210103642,36004,17.136304567247816,36004,victims
2022,Attempted homicide,victims,Brasil — 27 UFs,27,100.0,210862983,36862,17.481494132139826,36862,victims
2023,Attempted homicide,victims,Brasil — 27 UFs,27,100.0,211695158,35207,16.630989736666532,35207,victims
2024,Attempted homicide,victims,Brasil — 27 UFs,27,100.0,212583750,36973,17.392204248913664,36973,victims
2025,Attempted homicide,victims,Brasil — 27 UFs,27,100.0,213421037,33917,15.892060350170635,33917,victims
2016,Rape,victims,Brasil — 27 UFs,27,100.0,203871925,33595,16.478482753326627,33595,victims
