ano,componente,natureza_contabil,valor_reais_dez_2025,pib_reais_dez_2025,participacao_pib_pct,composicao_pct,total_calculado_reais_dez_2025,total_reportado_reais_dez_2025,total_de_homicidios
1996,Productive-capacity losses,Modeled expected-income loss,35506036882.11,4663845562114.107,0.7613038727211888,100.0,35506036882.11,35506036882.11,38929.0
1997,Productive-capacity losses,Modeled expected-income loss,36953377627.05,4934975640784.241,0.7488056743716279,100.0,36953377627.05,36953377627.05,40531.0
1998,Productive-capacity losses,Modeled expected-income loss,38743191944.29,5105791358580.626,0.7588087570241087,100.0,38743191944.29,38743191944.29,41974.0
1999,Productive-capacity losses,Modeled expected-income loss,39870694053.01,5099605604048.777,0.7818387763429213,100.0,39870694053.01,39870694053.01,42947.0
2000,Productive-capacity losses,Modeled expected-income loss,42076034750.07,5304346972234.874,0.7932368483870533,100.0,42076034750.07,42076034750.07,45433.0
2001,Productive-capacity losses,Modeled expected-income loss,43860712152.48,5408859154773.726,0.810905052200696,100.0,43860712152.48,43860712152.48,48032.0
2002,Productive-capacity losses,Modeled expected-income loss,45563978749.18,5517031684759.986,0.825878504106547,100.0,45563978749.18,45563978749.18,49816.0
2003,Productive-capacity losses,Modeled expected-income loss,46802027413.07,5734429605229.452,0.8161583738056422,100.0,46802027413.07,46802027413.07,51534.0
2004,Productive-capacity losses,Modeled expected-income loss,44124519138.69,6093807429961.039,0.7240878489488486,100.0,44124519138.69,44124519138.69,48909.0
2005,Productive-capacity losses,Modeled expected-income loss,42127293763.15,6360874228064.656,0.6622877964994373,100.0,42127293763.15,42127293763.15,48136.0
2006,Productive-capacity losses,Modeled expected-income loss,42635893184.91,6853973049993.364,0.622060998400793,100.0,42635893184.91,42635893184.91,49704.0
2007,Productive-capacity losses,Modeled expected-income loss,40721040053.37,7427091462321.764,0.548277078045304,100.0,40721040053.37,40721040053.37,48219.0
2008,Productive-capacity losses,Modeled expected-income loss,42100866148.73,7980823565565.371,0.5275253337309873,100.0,42100866148.73,42100866148.73,50659.0
2009,Productive-capacity losses,Modeled expected-income loss,42752091548.57,8207491755843.925,0.5208910690422506,100.0,42752091548.57,42752091548.57,52043.0
2010,Productive-capacity losses,Modeled expected-income loss,42890559496.66,9058287838117.457,0.4734952152455972,100.0,42890559496.66,42890559496.66,53016.0
2011,Productive-capacity losses,Modeled expected-income loss,42305105503.84,9566475208257.15,0.4422224966132251,100.0,42305105503.84,42305105503.84,52807.0
2012,Productive-capacity losses,Modeled expected-income loss,45956004116.9,9972838868422.896,0.4608116577759115,100.0,45956004116.9,45956004116.9,57045.0
2013,Productive-capacity losses,Modeled expected-income loss,45636913018.12,10440534674154.057,0.4371127958714215,100.0,45636913018.12,45636913018.12,57396.0
2014,Productive-capacity losses,Modeled expected-income loss,48033949927.29,10620309594750.904,0.4522838952927588,100.0,48033949927.29,48033949927.29,60474.0
2015,Productive-capacity losses,Modeled expected-income loss,46165470001.16,9973912529656.303,0.4628621903780707,99.99999999999999,46165470001.16,46165470001.16,59080.0
2016,Productive-capacity losses,Modeled expected-income loss,48661099426.57,9747820129596.121,0.4991998085687509,100.0,48661099426.57,48661099426.57,62517.0
2017,Productive-capacity losses,Modeled expected-income loss,50267950152.53,9960117492699.11,0.5046923411232552,100.0,50267950152.53,50267950152.53,65602.0
2018,Productive-capacity losses,Modeled expected-income loss,44053339149.12,10181388857657.186,0.4326849682790429,100.0,44053339149.12,44053339149.12,57956.0
2019,Productive-capacity losses,Modeled expected-income loss,34202939715.49,10400422816747.389,0.32886105034512986,100.0,34202939715.49,34202939715.49,45503.0
2020,Productive-capacity losses,Modeled expected-income loss,37017500536.5,10268069828543.287,0.3605107985689615,100.0,37017500536.5,37017500536.5,49868.0
2021,Productive-capacity losses,Modeled expected-income loss,35103520870.65,10981371629335.133,0.3196642646796149,100.0,35103520870.65,35103520870.65,47847.0
2022,Productive-capacity losses,Modeled expected-income loss,33981650362.91,11597842301725.111,0.2929997621872771,100.0,33981650362.91,33981650362.91,46409.0
2023,Productive-capacity losses,Modeled expected-income loss,33207907647.08,12028245971591.766,0.27608271168971954,100.0,33207907647.08,33207907647.08,45747.0
2024,Productive-capacity losses,Modeled expected-income loss,30467586663.2,12345427328384.613,0.246792483182408,100.0,30467586663.2,30467586663.2,42590.0
2025,Productive-capacity losses,Modeled expected-income loss,29169191035.266026,12700000000000.0,0.22967866956902383,100.0,29169191035.266026,29169191035.266026,40775.0
