year,microrregion_code,microrregion_name,uf,macroregion,homicide_count,population,homicide_rate_per_100k,percentile_unweighted,bubble_area_points2
2024,26019,Fernando de Noronha,PE,Nordeste,0,3316.0,0.0,0.17921146953405018,0.4421333333333333
2024,29025,Livramento do Brumado,BA,Nordeste,1,101316.0,0.9870109360811717,0.35842293906810035,13.5088
2024,35049,Campos do Jordão,SP,Sudeste,1,71430.0,1.3999720005599887,0.5376344086021505,9.524
2024,43034,Jaguarão,RS,Sul,1,51600.0,1.937984496124031,0.7168458781362007,6.88
2024,35008,Novo Horizonte,SP,Sudeste,2,87843.0,2.2767892717689513,0.8960573476702509,11.7124
2024,31008,Grão Mogol,MG,Sudeste,1,38054.0,2.627844641824775,1.075268817204301,5.0738666666666665
2024,35001,Jales,SP,Sudeste,5,163205.0,3.0636316289329373,1.2544802867383513,21.760666666666665
2024,35061,São Paulo,SP,Sudeste,453,14684589.0,3.084866726607057,1.4336917562724014,1957.9452
2024,35034,Dracena,SP,Sudeste,4,126852.0,3.153280988868918,1.6129032258064515,16.9136
2024,31053,Santa Rita do Sapucaí,MG,Sudeste,5,150692.0,3.318026172590449,1.7921146953405018,20.092266666666667
2024,35037,Tupã,SP,Sudeste,4,115486.0,3.463623296330291,1.971326164874552,15.398133333333334
2024,23028,Lavras da Mangabeira,CE,Nordeste,2,57389.0,3.4849884124135286,2.150537634408602,7.651866666666667
2024,25014,Esperança,PB,Nordeste,2,57363.0,3.4865679967923575,2.3297491039426523,7.6484
2024,35030,São João da Boa Vista,SP,Sudeste,16,423794.0,3.7754191895118856,2.5089605734767026,56.50586666666667
2024,35052,Bananal,SP,Sudeste,1,26300.0,3.802281368821293,2.6881720430107525,3.506666666666667
2024,41032,Irati,PR,Sul,4,103419.0,3.8677612430984634,2.867383512544803,13.7892
2024,31032,Itaguara,MG,Sudeste,3,72800.0,4.1208791208791204,3.046594982078853,9.706666666666667
2024,42007,São Bento do Sul,SC,Sul,6,139834.0,4.29080195088462,3.225806451612903,18.64453333333333
2024,31026,Bom Despacho,MG,Sudeste,8,185246.0,4.318581777744189,3.4050179211469533,24.699466666666666
2024,35015,Batatais,SP,Sudeste,5,113180.0,4.4177416504682805,3.5842293906810037,15.090666666666667
2024,50006,Paranaíba,MS,Centro-Oeste,4,89294.0,4.479584294577463,3.763440860215054,11.905866666666666
2024,31056,Itajubá,MG,Sudeste,9,200761.0,4.482942404152201,3.942652329749104,26.768133333333335
2024,35060,Itapecerica da Serra,SP,Sudeste,52,1159902.0,4.483137368501822,4.121863799283154,154.6536
2024,35033,Amparo,SP,Sudeste,9,198630.0,4.531037607612143,4.301075268817204,26.484
2024,31054,São Lourenço,MG,Sudeste,10,219569.0,4.5543769840004735,4.480286738351254,29.275866666666666
2024,35009,Barretos,SP,Sudeste,7,152223.0,4.598516649914927,4.659498207885305,20.2964
