ano,componente,natureza_contabil,valor_reais_dez_2025,pib_reais_dez_2025,participacao_pib_pct,composicao_pct,total_calculado_reais_dez_2025,total_reportado_reais_dez_2025
1996,Serviços médico-terapêuticos,Gasto hospitalar + perda temporária modelada,102523367.93,4663845562114.107,0.0021982582091231695,100.0,102523367.93,102523367.93
1997,Serviços médico-terapêuticos,Gasto hospitalar + perda temporária modelada,102564603.05,4934975640784.241,0.002078320350811315,100.0,102564603.05,102564603.05
1998,Serviços médico-terapêuticos,Gasto hospitalar + perda temporária modelada,118336341.7,5105791358580.626,0.0023176885499077006,100.0,118336341.7,118336341.7
1999,Serviços médico-terapêuticos,Gasto hospitalar + perda temporária modelada,156880808.2,5099605604048.777,0.0030763321790109833,100.0,156880808.2,156880808.2
2000,Serviços médico-terapêuticos,Gasto hospitalar + perda temporária modelada,144444939.8,5304346972234.874,0.0027231427460549626,100.0,144444939.8,144444939.8
2001,Serviços médico-terapêuticos,Gasto hospitalar + perda temporária modelada,139266784.3,5408859154773.726,0.002574790363640484,100.0,139266784.3,139266784.3
2002,Serviços médico-terapêuticos,Gasto hospitalar + perda temporária modelada,133196244.9,5517031684759.986,0.0024142736984443217,100.0,133196244.9,133196244.9
2003,Serviços médico-terapêuticos,Gasto hospitalar + perda temporária modelada,141911151.3,5734429605229.452,0.0024747213074267343,100.0,141911151.3,141911151.3
2004,Serviços médico-terapêuticos,Gasto hospitalar + perda temporária modelada,154559763.2,6093807429961.039,0.0025363414413144356,100.0,154559763.2,154559763.2
2005,Serviços médico-terapêuticos,Gasto hospitalar + perda temporária modelada,156444142.2,6360874228064.656,0.002459475483884851,100.0,156444142.2,156444142.2
2006,Serviços médico-terapêuticos,Gasto hospitalar + perda temporária modelada,138144508.6,6853973049993.364,0.002015539127340656,100.0,138144508.6,138144508.6
2007,Serviços médico-terapêuticos,Gasto hospitalar + perda temporária modelada,140079694.8,7427091462321.764,0.0018860639526338898,100.0,140079694.8,140079694.8
2008,Serviços médico-terapêuticos,Gasto hospitalar + perda temporária modelada,105793519.8,7980823565565.371,0.001325596524354507,100.0,105793519.8,105793519.8
2009,Serviços médico-terapêuticos,Gasto hospitalar + perda temporária modelada,157130625.42,8207491755843.925,0.0019144780170887083,100.0,157130625.42,157130625.42
2010,Serviços médico-terapêuticos,Gasto hospitalar + perda temporária modelada,168395507.13,9058287838117.457,0.0018590213751144926,100.0,168395507.13,168395507.13
2011,Serviços médico-terapêuticos,Gasto hospitalar + perda temporária modelada,176277941.35,9566475208257.15,0.001842663441994273,100.0,176277941.35,176277941.35
2012,Serviços médico-terapêuticos,Gasto hospitalar + perda temporária modelada,187416498.11,9972838868422.896,0.0018792692891431227,99.99999999999999,187416498.11,187416498.11
2013,Serviços médico-terapêuticos,Gasto hospitalar + perda temporária modelada,187129869.94,10440534674154.057,0.0017923399115109225,100.0,187129869.94,187129869.94
2014,Serviços médico-terapêuticos,Gasto hospitalar + perda temporária modelada,185248131.27,10620309594750.904,0.001744281836770173,100.0,185248131.27,185248131.27
2015,Serviços médico-terapêuticos,Gasto hospitalar + perda temporária modelada,170449587.0,9973912529656.303,0.001708954098937477,100.0,170449587.0,170449587.0
2016,Serviços médico-terapêuticos,Gasto hospitalar + perda temporária modelada,175569797.88,9747820129596.121,0.0018011185633897652,100.0,175569797.88,175569797.88
2017,Serviços médico-terapêuticos,Gasto hospitalar + perda temporária modelada,170486439.53,9960117492699.11,0.001711691048373362,100.0,170486439.53,170486439.53
2018,Serviços médico-terapêuticos,Gasto hospitalar + perda temporária modelada,153588720.44,10181388857657.186,0.0015085242552590407,100.0,153588720.44,153588720.44
2019,Serviços médico-terapêuticos,Gasto hospitalar + perda temporária modelada,144999583.64,10400422816747.389,0.0013941700851480086,100.0,144999583.64,144999583.64
2020,Serviços médico-terapêuticos,Gasto hospitalar + perda temporária modelada,133268097.68,10268069828543.287,0.0012978885019805763,100.0,133268097.68,133268097.68
2021,Serviços médico-terapêuticos,Gasto hospitalar + perda temporária modelada,126305793.52,10981371629335.133,0.0011501823067584062,100.0,126305793.52,126305793.52
2022,Serviços médico-terapêuticos,Gasto hospitalar + perda temporária modelada,128280920.45,11597842301725.111,0.0011060757433382152,100.0,128280920.45,128280920.45
2023,Serviços médico-terapêuticos,Gasto hospitalar + perda temporária modelada,128770485.31,12028245971591.766,0.0010705674427853348,100.0,128770485.31,128770485.31
2024,Serviços médico-terapêuticos,Gasto hospitalar + perda temporária modelada,127001194.36,12345427328384.613,0.001028730646431321,100.0,127001194.36,127001194.36
2025,Serviços médico-terapêuticos,Gasto hospitalar + perda temporária modelada,120016241.84,12700000000000.0,0.0009450097782677166,100.0,120016241.84,120016241.84
