ano,componente,natureza_contabil,valor_reais_dez_2025,pib_reais_dez_2025,participacao_pib_pct,composicao_pct,total_calculado_reais_dez_2025,total_reportado_reais_dez_2025
1996,Serviços médico-terapêuticos,Gasto hospitalar + perda temporária modelada,102523367.93,4663845562114.107,0.0021982582091231695,0.04648239059474749,220563887997.5875,220563887997.58746
1996,Encarceramento e auxílio-reclusão,Gasto público + transferência previdenciária,1446022349.0475,4663845562114.107,0.03100493637255052,0.6556024933072074,220563887997.5875,220563887997.58746
1996,Custos judiciais,Despesa atribuída + serviço jurídico valorado,23898499874.27,4663845562114.107,0.5124204812527472,10.83518253655893,220563887997.5875,220563887997.58746
1996,Perda de capacidade produtiva,Perda modelada de renda esperada,35506036882.11,4663845562114.107,0.7613038727211888,16.09784684358591,220563887997.5875,220563887997.58746
1996,Seguros e perdas materiais,"Prêmios, sinistros e perdas materiais",57879835916.0,4663845562114.107,1.2410324301082398,26.241755366877232,220563887997.5875,220563887997.58746
1996,Segurança privada,Custo do trabalho privado,40366527854.229996,4663845562114.107,0.865520251831237,18.301512645928476,220563887997.5875,220563887997.58746
1996,Segurança pública,Gasto público,61364441754.0,4663845562114.107,1.3157477222762857,27.821617723147497,220563887997.5875,220563887997.58746
1997,Serviços médico-terapêuticos,Gasto hospitalar + perda temporária modelada,102564603.05,4934975640784.241,0.002078320350811315,0.044876765257227044,228547228085.8808,228547228085.8808
1997,Encarceramento e auxílio-reclusão,Gasto público + transferência previdenciária,1619777706.8808,4934975640784.241,0.032822405312286265,0.708727784820098,228547228085.8808,228547228085.8808
1997,Custos judiciais,Despesa atribuída + serviço jurídico valorado,25205563960.269997,4934975640784.241,0.5107535638466587,11.028601909273013,228547228085.8808,228547228085.8808
1997,Perda de capacidade produtiva,Perda modelada de renda esperada,36953377627.05,4934975640784.241,0.7488056743716279,16.16881461942916,228547228085.8808,228547228085.8808
1997,Seguros e perdas materiais,"Prêmios, sinistros e perdas materiais",61547509186.14,4934975640784.241,1.2471694627525898,26.92988652787878,228547228085.8808,228547228085.8808
1997,Segurança privada,Custo do trabalho privado,37135542426.89,4934975640784.241,0.7524969752634606,16.24852015835241,228547228085.8808,228547228085.8808
1997,Segurança pública,Gasto público,65982892575.6,4934975640784.241,1.3370459629080222,28.870572234989314,228547228085.8808,228547228085.8808
1998,Serviços médico-terapêuticos,Gasto hospitalar + perda temporária modelada,118336341.7,5105791358580.626,0.0023176885499077006,0.04760879029562359,248559858305.9944,248559858305.99442
1998,Encarceramento e auxílio-reclusão,Gasto público + transferência previdenciária,1666050434.5544,5105791358580.626,0.032630601557082625,0.6702813744379339,248559858305.9944,248559858305.99442
1998,Custos judiciais,Despesa atribuída + serviço jurídico valorado,26589354858.61,5105791358580.626,0.5207685350073069,10.697364827862375,248559858305.9944,248559858305.99442
1998,Perda de capacidade produtiva,Perda modelada de renda esperada,38743191944.29,5105791358580.626,0.7588087570241087,15.58706711869559,248559858305.9944,248559858305.99442
1998,Seguros e perdas materiais,"Prêmios, sinistros e perdas materiais",66093872108.25,5105791358580.626,1.294488306835625,26.590726498919977,248559858305.9944,248559858305.99442
1998,Segurança privada,Custo do trabalho privado,42441414299.69,5105791358580.626,0.8312406700356909,17.074926976922267,248559858305.9944,248559858305.99442
1998,Segurança pública,Gasto público,72907638318.9,5105791358580.626,1.4279400233692237,29.332024412866232,248559858305.9944,248559858305.99442
1999,Serviços médico-terapêuticos,Gasto hospitalar + perda temporária modelada,156880808.2,5099605604048.777,0.0030763321790109833,0.06844255551250357,229215298910.54388,229215298910.5439
1999,Encarceramento e auxílio-reclusão,Gasto público + transferência previdenciária,1570198152.69389,5099605604048.777,0.03079058018618632,0.6850320027314988,229215298910.54388,229215298910.5439
1999,Custos judiciais,Despesa atribuída + serviço jurídico valorado,28045547787.04,5099605604048.777,0.5499552311412776,12.235460687109445,229215298910.54388,229215298910.5439
1999,Perda de capacidade produtiva,Perda modelada de renda esperada,39870694053.01,5099605604048.777,0.7818387763429213,17.394429709759635,229215298910.54388,229215298910.5439
1999,Seguros e perdas materiais,"Prêmios, sinistros e perdas materiais",57414668876.58,5099605604048.777,1.1258648871002148,25.048358093666028,229215298910.54388,229215298910.5439
1999,Segurança privada,Custo do trabalho privado,36136320299.12,5099605604048.777,0.7086100986011538,15.765230536912359,229215298910.54388,229215298910.5439
1999,Segurança pública,Gasto público,66020988933.9,5099605604048.777,1.2946293117546843,28.803046414308536,229215298910.54388,229215298910.5439
2000,Serviços médico-terapêuticos,Gasto hospitalar + perda temporária modelada,144444939.8,5304346972234.874,0.0027231427460549626,0.05966449861074047,242095288091.46457,242095288091.46457
2000,Encarceramento e auxílio-reclusão,Gasto público + transferência previdenciária,1771040633.8739753,5304346972234.874,0.0333884763410902,0.731546924285808,242095288091.46457,242095288091.46457
2000,Custos judiciais,Despesa atribuída + serviço jurídico valorado,29562897775.43,5304346972234.874,0.5573334084322599,12.211265245385949,242095288091.46457,242095288091.46457
2000,Perda de capacidade produtiva,Perda modelada de renda esperada,42076034750.07,5304346972234.874,0.7932368483870533,17.379947822104455,242095288091.46457,242095288091.46457
2000,Seguros e perdas materiais,"Prêmios, sinistros e perdas materiais",61045176287.880005,5304346972234.874,1.1508518693708287,25.21535085177572,242095288091.46457,242095288091.46457
2000,Segurança privada,Custo do trabalho privado,34095733216.710598,5304346972234.874,0.6427885165729473,14.083600505198222,242095288091.46457,242095288091.46457
2000,Segurança pública,Gasto público,73399960487.7,5304346972234.874,1.3837699696476395,30.318624152639106,242095288091.46457,242095288091.46457
2001,Serviços médico-terapêuticos,Gasto hospitalar + perda temporária modelada,139266784.3,5408859154773.726,0.002574790363640484,0.050451274776634816,276042151395.7419,276042151395.7419
2001,Encarceramento e auxílio-reclusão,Gasto público + transferência previdenciária,1853426425.3918808,5408859154773.726,0.03426649451125183,0.6714287713019437,276042151395.7419,276042151395.7419
2001,Custos judiciais,Despesa atribuída + serviço jurídico valorado,31145691521.51,5408859154773.726,0.5758273719148627,11.282947681732363,276042151395.7419,276042151395.7419
2001,Perda de capacidade produtiva,Perda modelada de renda esperada,43860712152.48,5408859154773.726,0.810905052200696,15.889135746373762,276042151395.7419,276042151395.7419
2001,Seguros e perdas materiais,"Prêmios, sinistros e perdas materiais",70236660258.03,5408859154773.726,1.2985485154672747,25.444179413504397,276042151395.7419,276042151395.7419
2001,Segurança privada,Custo do trabalho privado,42515212215.43,5408859154773.726,0.7860291976341651,15.40171021000303,276042151395.7419,276042151395.7419
2001,Segurança pública,Gasto público,86291182038.6,5408859154773.726,1.5953675177960873,31.26014690230787,276042151395.7419,276042151395.7419
2002,Serviços médico-terapêuticos,Gasto hospitalar + perda temporária modelada,133196244.9,5517031684759.986,0.0024142736984443217,0.04967222479249302,268150350535.79883,268150350535.79883
2002,Encarceramento e auxílio-reclusão,Gasto público + transferência previdenciária,1991405194.0288382,5517031684759.986,0.03609559103185525,0.7426450086862668,268150350535.79883,268150350535.79883
2002,Custos judiciais,Despesa atribuída + serviço jurídico valorado,32798939427.670002,5517031684759.986,0.5945033724977943,12.231548219919723,268150350535.79883,268150350535.79883
2002,Perda de capacidade produtiva,Perda modelada de renda esperada,45563978749.18,5517031684759.986,0.825878504106547,16.9919519620755,268150350535.79883,268150350535.79883
2002,Seguros e perdas materiais,"Prêmios, sinistros e perdas materiais",68941845831.2,5517031684759.986,1.2496184501104466,25.71014570499175,268150350535.79883,268150350535.79883
2002,Segurança privada,Custo do trabalho privado,40916499483.82,5517031684759.986,0.741639740747656,15.258790227968593,268150350535.79883,268150350535.79883
2002,Segurança pública,Gasto público,77804485605.0,5517031684759.986,1.410259901532264,29.01524665156568,268150350535.79883,268150350535.79883
2003,Serviços médico-terapêuticos,Gasto hospitalar + perda temporária modelada,141911151.3,5734429605229.452,0.0024747213074267343,0.053038585828258794,267562094810.58636,267562094810.58636
2003,Encarceramento e auxílio-reclusão,Gasto público + transferência previdenciária,2180274985.406353,5734429605229.452,0.038020782109140804,0.8148669141456013,267562094810.58636,267562094810.58636
2003,Custos judiciais,Despesa atribuída + serviço jurídico valorado,36268466731.7,5734429605229.452,0.6324686015610925,13.555158759455562,267562094810.58636,267562094810.58636
2003,Perda de capacidade produtiva,Perda modelada de renda esperada,46802027413.07,5734429605229.452,0.8161583738056422,17.49202458823709,267562094810.58636,267562094810.58636
2003,Seguros e perdas materiais,"Prêmios, sinistros e perdas materiais",68238722149.42,5734429605229.452,1.1899827331944302,25.503882453053684,267562094810.58636,267562094810.58636
2003,Segurança privada,Custo do trabalho privado,38382683381.69,5734429605229.452,0.6693374236678626,14.345336699827389,267562094810.58636,267562094810.58636
2003,Segurança pública,Gasto público,75548008998.0,5734429605229.452,1.3174459222431607,28.235691999452406,267562094810.58636,267562094810.58636
2004,Serviços médico-terapêuticos,Gasto hospitalar + perda temporária modelada,154559763.2,6093807429961.039,0.0025363414413144356,0.057122089339126145,270577923511.16483,270577923511.16486
2004,Encarceramento e auxílio-reclusão,Gasto público + transferência previdenciária,2356921666.024831,6093807429961.039,0.03867732436763103,0.8710694632585491,270577923511.16483,270577923511.16486
2004,Custos judiciais,Despesa atribuída + serviço jurídico valorado,35160204211.67,6093807429961.039,0.5769825288341085,12.99448371670987,270577923511.16483,270577923511.16486
2004,Perda de capacidade produtiva,Perda modelada de renda esperada,44124519138.69,6093807429961.039,0.7240878489488486,16.307508966772485,270577923511.16483,270577923511.16486
2004,Seguros e perdas materiais,"Prêmios, sinistros e perdas materiais",70656570816.08,6093807429961.039,1.1594815167392276,26.113206095753227,270577923511.16483,270577923511.16486
2004,Segurança privada,Custo do trabalho privado,44596116297.25,6093807429961.039,0.7318268063081069,16.48180151527027,270577923511.16483,270577923511.16486
2004,Segurança pública,Gasto público,73529031618.25,6093807429961.039,1.206618890789598,27.17480815289647,270577923511.16483,270577923511.16486
2005,Serviços médico-terapêuticos,Gasto hospitalar + perda temporária modelada,156444142.2,6360874228064.656,0.002459475483884851,0.05506333109747877,284116741726.0799,284116741726.0799
2005,Encarceramento e auxílio-reclusão,Gasto público + transferência previdenciária,2880038255.089892,6360874228064.656,0.0452773966569398,1.0136812908640804,284116741726.0799,284116741726.0799
2005,Custos judiciais,Despesa atribuída + serviço jurídico valorado,36866356657.67,6360874228064.656,0.5795800284025875,12.975777644674407,284116741726.0799,284116741726.0799
2005,Perda de capacidade produtiva,Perda modelada de renda esperada,42127293763.15,6360874228064.656,0.6622877964994373,14.827459130784131,284116741726.0799,284116741726.0799
2005,Seguros e perdas materiais,"Prêmios, sinistros e perdas materiais",75611097186.48001,6360874228064.656,1.1886903352510596,26.612686294768757,284116741726.0799,284116741726.0799
2005,Segurança privada,Custo do trabalho privado,48363324940.1,6360874228064.656,0.760325125227557,17.02234252240145,284116741726.0799,284116741726.0799
2005,Segurança pública,Gasto público,78112186781.39,6360874228064.656,1.2280102385416323,27.492989785409698,284116741726.0799,284116741726.0799
2006,Serviços médico-terapêuticos,Gasto hospitalar + perda temporária modelada,138144508.6,6853973049993.364,0.002015539127340656,0.04534630416316108,304643368736.16113,304643368736.16113
2006,Encarceramento e auxílio-reclusão,Gasto público + transferência previdenciária,3103781293.2311325,6853973049993.364,0.04528441052498941,1.018824504898115,304643368736.16113,304643368736.16113
2006,Custos judiciais,Despesa atribuída + serviço jurídico valorado,40121197050.77,6853973049993.364,0.5853713861744589,13.16989016278811,304643368736.16113,304643368736.16113
2006,Perda de capacidade produtiva,Perda modelada de renda esperada,42635893184.91,6853973049993.364,0.622060998400793,13.995345889782083,304643368736.16113,304643368736.16113
2006,Seguros e perdas materiais,"Prêmios, sinistros e perdas materiais",78026000087.64,6853973049993.364,1.1384054112631146,25.6122430668153,304643368736.16113,304643368736.16113
2006,Segurança privada,Custo do trabalho privado,49959680554.73,6853973049993.364,0.7289156258759781,16.39939866802024,304643368736.16113,304643368736.16113
2006,Segurança pública,Gasto público,90658672056.28,6853973049993.364,1.3227170780364794,29.75895140353299,304643368736.16113,304643368736.16113
2007,Serviços médico-terapêuticos,Gasto hospitalar + perda temporária modelada,140079694.8,7427091462321.764,0.0018860639526338898,0.04500770773138438,311234901444.0495,311234901444.0495
2007,Encarceramento e auxílio-reclusão,Gasto público + transferência previdenciária,2882588879.0995,7427091462321.764,0.0388118133959048,0.9261779015544314,311234901444.0495,311234901444.0495
2007,Custos judiciais,Despesa atribuída + serviço jurídico valorado,41557552936.21,7427091462321.764,0.5595400722750599,13.35247195715959,311234901444.0495,311234901444.0495
2007,Perda de capacidade produtiva,Perda modelada de renda esperada,40721040053.37,7427091462321.764,0.548277078045304,13.0836997600317,311234901444.0495,311234901444.0495
2007,Seguros e perdas materiais,"Prêmios, sinistros e perdas materiais",73598648026.87,7427091462321.764,0.9909484540515208,23.64729909319016,311234901444.0495,311234901444.0495
2007,Segurança privada,Custo do trabalho privado,53515470174.28,7427091462321.764,0.7205441113222897,17.194559455248125,311234901444.0495,311234901444.0495
2007,Segurança pública,Gasto público,98819521679.42,7427091462321.764,1.3305278678839414,31.75078412508461,311234901444.0495,311234901444.0495
2008,Serviços médico-terapêuticos,Gasto hospitalar + perda temporária modelada,105793519.8,7980823565565.371,0.001325596524354507,0.03190769261020388,331561172700.3033,331561172700.3032
2008,Encarceramento e auxílio-reclusão,Gasto público + transferência previdenciária,3595532014.523277,7980823565565.371,0.04505214261391287,1.084424929867546,331561172700.3033,331561172700.3032
2008,Custos judiciais,Despesa atribuída + serviço jurídico valorado,46320096009.82,7980823565565.371,0.5803924323007964,13.970301658840052,331561172700.3033,331561172700.3032
2008,Perda de capacidade produtiva,Perda modelada de renda esperada,42100866148.73,7980823565565.371,0.5275253337309873,12.697767294599599,331561172700.3033,331561172700.3032
2008,Seguros e perdas materiais,"Prêmios, sinistros e perdas materiais",76911053671.89001,7980823565565.371,0.9636982078357919,23.196640621551182,331561172700.3033,331561172700.3032
2008,Segurança privada,Custo do trabalho privado,56907910359.64,7980823565565.371,0.7130581185277534,17.163623199957378,331561172700.3033,331561172700.3032
2008,Segurança pública,Gasto público,105619920975.9,7980823565565.371,1.3234213249822389,31.855334602574047,331561172700.3033,331561172700.3032
2009,Serviços médico-terapêuticos,Gasto hospitalar + perda temporária modelada,157130625.42,8207491755843.925,0.0019144780170887083,0.044811328499652074,350649335069.85846,350649335069.85846
2009,Encarceramento e auxílio-reclusão,Gasto público + transferência previdenciária,4612113821.048465,8207491755843.925,0.056193950091567656,1.3153065925904615,350649335069.85846,350649335069.85846
2009,Custos judiciais,Despesa atribuída + serviço jurídico valorado,45006767234.46,8207491755843.925,0.5483620157451164,12.835263818621952,350649335069.85846,350649335069.85846
2009,Perda de capacidade produtiva,Perda modelada de renda esperada,42752091548.57,8207491755843.925,0.5208910690422506,12.192263687040123,350649335069.85846,350649335069.85846
2009,Seguros e perdas materiais,"Prêmios, sinistros e perdas materiais",78498627804.84,8207491755843.925,0.9564265203062452,22.38664670195397,350649335069.85846,350649335069.85846
2009,Segurança privada,Custo do trabalho privado,60798288933.72,8207491755843.925,0.7407657630655579,17.338772058873975,350649335069.85846,350649335069.85846
2009,Segurança pública,Gasto público,118824315101.8,8207491755843.925,1.4477543034654201,33.886935812419864,350649335069.85846,350649335069.85846
2010,Serviços médico-terapêuticos,Gasto hospitalar + perda temporária modelada,168395507.13,9058287838117.457,0.0018590213751144926,0.04817652789253547,349538487924.30597,349538487924.306
2010,Encarceramento e auxílio-reclusão,Gasto público + transferência previdenciária,5455939225.300558,9058287838117.457,0.06023146231169489,1.5608979880012712,349538487924.30597,349538487924.306
2010,Custos judiciais,Despesa atribuída + serviço jurídico valorado,47661486840.91,9058287838117.457,0.5261644108983765,13.635547582740386,349538487924.30597,349538487924.306
2010,Perda de capacidade produtiva,Perda modelada de renda esperada,42890559496.66,9058287838117.457,0.4734952152455972,12.270625690281104,349538487924.30597,349538487924.306
2010,Seguros e perdas materiais,"Prêmios, sinistros e perdas materiais",81126314126.20999,9058287838117.457,0.8956031821469487,23.20955114498814,349538487924.30597,349538487924.306
2010,Segurança privada,Custo do trabalho privado,57554828403.35541,9058287838117.457,0.6353830815704877,16.46594878439228,349538487924.30597,349538487924.306
2010,Segurança pública,Gasto público,114680964324.74,9058287838117.457,1.2660335636737021,32.80925228170428,349538487924.30597,349538487924.306
2011,Serviços médico-terapêuticos,Gasto hospitalar + perda temporária modelada,176277941.35,9566475208257.15,0.001842663441994273,0.048634250743116995,362456373145.5201,362456373145.52
2011,Encarceramento e auxílio-reclusão,Gasto público + transferência previdenciária,4309822830.200089,9566475208257.15,0.04505131447453222,1.18905974608695,362456373145.5201,362456373145.52
2011,Custos judiciais,Despesa atribuída + serviço jurídico valorado,47101033037.130005,9566475208257.15,0.4923551466111102,12.99495236581748,362456373145.5201,362456373145.52
2011,Perda de capacidade produtiva,Perda modelada de renda esperada,42305105503.84,9566475208257.15,0.4422224966132251,11.671778629991206,362456373145.5201,362456373145.52
2011,Seguros e perdas materiais,"Prêmios, sinistros e perdas materiais",84563587711.95,9566475208257.15,0.8839576319495428,23.330694113081343,362456373145.5201,362456373145.52
2011,Segurança privada,Custo do trabalho privado,66409354389.509995,9566475208257.15,0.6941883289697947,18.322026955461414,362456373145.5201,362456373145.52
2011,Segurança pública,Gasto público,117591191731.54,9566475208257.15,1.229200820277494,32.44285393881849,362456373145.5201,362456373145.52
2012,Serviços médico-terapêuticos,Gasto hospitalar + perda temporária modelada,187416498.11,9972838868422.896,0.0018792692891431227,0.05119485557789744,366084630954.4314,366084630954.4314
2012,Encarceramento e auxílio-reclusão,Gasto público + transferência previdenciária,5163192328.96137,9972838868422.896,0.05177254337588507,1.410382160950117,366084630954.4314,366084630954.4314
2012,Custos judiciais,Despesa atribuída + serviço jurídico valorado,50280574174.42999,9972838868422.896,0.5041751384716933,13.734685895810987,366084630954.4314,366084630954.4314
