uf,year,population,source,status
AC,2015,826677,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
AL,2015,3181178,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
AM,2015,3859110,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
AP,2015,747050,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
BA,2015,14470447,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
CE,2015,8816218,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
DF,2015,2794821,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
ES,2015,3834033,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
GO,2015,6630429,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
MA,2015,6831416,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
MG,2015,20470203,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
MS,2015,2652939,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
MT,2015,3327512,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
PA,2015,8131409,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
PB,2015,3932039,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
PE,2015,9213107,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
PI,2015,3255812,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
PR,2015,11101864,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
RJ,2015,16971856,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
RN,2015,3322012,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
RO,2015,1666906,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
RR,2015,534380,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
RS,2015,11070711,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
SC,2015,6889914,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
SE,2015,2182252,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
SP,2015,44217931,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
TO,2015,1471416,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
AC,2016,836294,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
AL,2016,3187906,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
AM,2016,3914566,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
AP,2016,756948,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
BA,2016,14527076,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
CE,2016,8873158,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
DF,2016,2823570,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
ES,2016,3870870,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
GO,2016,6720503,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
MA,2016,6863878,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
MG,2016,20588168,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
MS,2016,2684756,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
MT,2016,3380091,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
PA,2016,8207830,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
PB,2016,3957455,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
PE,2016,9262684,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
PI,2016,3271094,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
PR,2016,11195664,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
RJ,2016,17043727,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
RN,2016,3342283,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
RO,2016,1680084,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
RR,2016,548233,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
RS,2016,11109776,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
SC,2016,7011473,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
SE,2016,2198312,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
SP,2016,44530110,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
TO,2016,1485416,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
AC,2017,844496,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
AL,2017,3193155,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
AM,2017,3966332,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
AP,2017,765558,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
BA,2017,14578692,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
CE,2017,8924184,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
DF,2017,2850314,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
ES,2017,3904551,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
GO,2017,6805532,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
MA,2017,6890375,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
MG,2017,20695003,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
MS,2017,2715557,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
MT,2017,3433278,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
PA,2017,8275842,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
PB,2017,3981512,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
PE,2017,9304183,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
PI,2017,3285746,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
PR,2017,11285193,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
RJ,2017,17100398,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
RN,2017,3359217,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
RO,2017,1691568,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
RR,2017,564013,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
RS,2017,11141074,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
SC,2017,7135459,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
SE,2017,2212722,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
SP,2017,44809066,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
TO,2017,1498537,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
AC,2018,851504,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
AL,2018,3200128,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
AM,2018,4018483,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
AP,2018,772784,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
BA,2018,14632652,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
CE,2018,8976628,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
DF,2018,2875413,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
ES,2018,3937119,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
GO,2018,6888446,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
MA,2018,6917016,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
MG,2018,20801238,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
MS,2018,2746161,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
MT,2018,3490648,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
PA,2018,8339467,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
PB,2018,4008413,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
PE,2018,9348293,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
PI,2018,3302227,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
PR,2018,11373980,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
RJ,2018,17148943,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
RN,2018,3375511,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
RO,2018,1701892,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
RR,2018,587497,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
RS,2018,11167531,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
SC,2018,7266127,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
SE,2018,2227068,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
SP,2018,45062167,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
TO,2018,1511702,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
AC,2019,857919,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
AL,2019,3208704,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
AM,2019,4073280,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
AP,2019,779468,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
BA,2019,14693250,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
CE,2019,9035631,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
DF,2019,2899708,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
ES,2019,3970009,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
GO,2019,6974736,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
MA,2019,6946725,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
MG,2019,20916751,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
MS,2019,2777028,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
MT,2019,3551996,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
PA,2019,8404430,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
PB,2019,4037810,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
PE,2019,9396505,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
PI,2019,3320228,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
PR,2019,11468227,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
RJ,2019,17193919,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
RN,2019,3392434,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
RO,2019,1712560,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
RR,2019,618125,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
RS,2019,11194346,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
SC,2019,7403723,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
