microrregion_code,microrregion_name,uf,macroregion,year,homicide_count,population,homicide_rate_per_100k,percentile_unweighted,population_status,homicide_definition,sim_status
11001,Porto Velho,RO,Norte,2015,270,637530.0,42.35094819067338,86.73835125448029,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
11002,Guajará-Mirim,RO,Norte,2015,15,82285.0,18.229324907334266,42.473118279569896,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
11003,Ariquemes,RO,Norte,2015,96,198611.0,48.33569137661056,91.21863799283155,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
11004,Ji-Paraná,RO,Norte,2015,59,316823.0,18.62238536974904,43.54838709677419,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
11005,Alvorada D'Oeste,RO,Norte,2015,12,75169.0,15.964027724194814,36.738351254480285,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
11006,Cacoal,RO,Norte,2015,62,248619.0,24.937756165055767,58.96057347670251,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
11007,Vilhena,RO,Norte,2015,72,154743.0,46.52876059013978,89.60573476702508,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
11008,Colorado do Oeste,RO,Norte,2015,6,54424.0,11.024547993532265,20.788530465949822,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
12001,Cruzeiro do Sul,AC,Norte,2015,20,143320.0,13.954786491766676,29.92831541218638,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
12002,Tarauacá,AC,Norte,2015,21,78713.0,26.67920165665138,62.007168458781365,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
12003,Sena Madureira,AC,Norte,2015,12,56200.0,21.352313167259787,50.89605734767025,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
12004,Rio Branco,AC,Norte,2015,155,460354.0,33.669741112274465,73.83512544802868,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
12005,Brasiléia,AC,Norte,2015,9,64926.0,13.86193512614361,29.74910394265233,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
13001,Rio Negro,AM,Norte,2015,29,110602.0,26.220140684616915,61.64874551971326,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
13002,Japurá,AM,Norte,2015,3,23548.0,12.739935450993714,26.344086021505376,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
13003,Alto Solimões,AM,Norte,2015,36,245521.0,14.662696877252863,32.437275985663085,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
13004,Juruá,AM,Norte,2015,27,144754.0,18.65233430509692,43.90681003584229,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
13005,Tefé,AM,Norte,2015,6,91110.0,6.585446163977609,6.810035842293907,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
13006,Coari,AM,Norte,2015,33,172058.0,19.17957897918144,44.623655913978496,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
13007,Manaus,AM,Norte,2015,1200,2327732.0,51.55232647057307,93.36917562724014,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
13008,Rio Preto da Eva,AM,Norte,2015,30,63342.0,47.36193994506015,90.3225806451613,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
13009,Itacoatiara,AM,Norte,2015,41,171452.0,23.9133985022047,56.98924731182796,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
13010,Parintins,AM,Norte,2015,28,270186.0,10.363231255505466,18.817204301075268,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
13011,Boca do Acre,AM,Norte,2015,8,52876.0,15.129737499054391,33.691756272401435,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
13012,Purus,AM,Norte,2015,4,76545.0,5.225684238029917,3.4050179211469533,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
13013,Madeira,AM,Norte,2015,27,188610.0,14.315253698107206,31.182795698924732,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
14001,Boa Vista,RR,Norte,2015,146,359804.0,40.57764783048549,84.05017921146954,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
14002,Nordeste de Roraima,RR,Norte,2015,12,47524.0,25.250399797996803,59.49820788530466,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
14003,Caracaraí,RR,Norte,2015,34,46961.0,72.40050254466472,99.2831541218638,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
14004,Sudeste de Roraima,RR,Norte,2015,11,51376.0,21.410775459358454,51.075268817204304,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
15001,Óbidos,PA,Norte,2015,16,198751.0,8.05027396088573,11.290322580645162,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
15002,Santarém,PA,Norte,2015,88,507271.0,17.347729320225284,40.681003584229394,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
15003,Almeirim,PA,Norte,2015,8,71843.0,11.135392452987764,21.32616487455197,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
15004,Portel,PA,Norte,2015,18,144594.0,12.448649321548611,25.089605734767026,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
15005,Furos de Breves,PA,Norte,2015,22,220578.0,9.973796117473183,17.921146953405017,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
15006,Arari,PA,Norte,2015,15,168225.0,8.916629514043692,13.978494623655914,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
15007,Belém,PA,Norte,2015,1428,2261942.0,63.13159223357628,97.31182795698925,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
15008,Castanhal,PA,Norte,2015,205,324645.0,63.14589782685703,97.4910394265233,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
15009,Salgado,PA,Norte,2015,82,260362.0,31.49461134881434,71.86379928315412,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
15010,Bragantina,PA,Norte,2015,105,405443.0,25.897598429372316,61.111111111111114,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
15011,Cametá,PA,Norte,2015,137,473045.0,28.961303892864315,66.48745519713262,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
15012,Tomé-Açu,PA,Norte,2015,184,320418.0,57.424988608629974,95.3405017921147,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
15013,Guamá,PA,Norte,2015,140,460985.0,30.36975172727963,69.89247311827957,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
