crime,year,uf,reporting_status,months_present,months_numeric,count_reported,measurement_concept,value_field,raw_labels,definition_version_flag,comparability_class
Homicídio doloso,2015,AC,FULL_12_MONTHS,12,12,173,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2015,AL,FULL_12_MONTHS,12,12,1635,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2015,AM,FULL_12_MONTHS,12,12,1201,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2015,AP,FULL_12_MONTHS,12,12,235,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2015,BA,FULL_12_MONTHS,12,12,5709,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2015,CE,FULL_12_MONTHS,12,12,3923,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2015,DF,FULL_12_MONTHS,12,12,616,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2015,ES,NOT_REPORTED,0,0,,vítimas,total_vitima,,standard_vde_indicator,COMPARABLE
Homicídio doloso,2015,GO,FULL_12_MONTHS,12,12,0,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2015,MA,FULL_12_MONTHS,12,12,1981,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2015,MG,FULL_12_MONTHS,12,12,3963,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2015,MS,FULL_12_MONTHS,12,12,638,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2015,MT,FULL_12_MONTHS,12,12,1120,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2015,PA,FULL_12_MONTHS,12,12,3363,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2015,PB,FULL_12_MONTHS,12,12,1414,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2015,PE,FULL_12_MONTHS,12,12,3713,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2015,PI,FULL_12_MONTHS,12,12,585,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2015,PR,FULL_12_MONTHS,12,12,0,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2015,RJ,FULL_12_MONTHS,12,12,4858,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2015,RN,FULL_12_MONTHS,12,12,1364,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2015,RO,FULL_12_MONTHS,12,12,527,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2015,RR,FULL_12_MONTHS,12,12,83,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2015,RS,FULL_12_MONTHS,12,12,2704,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2015,SC,FULL_12_MONTHS,12,12,778,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2015,SE,FULL_12_MONTHS,12,12,1196,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2015,SP,FULL_12_MONTHS,12,12,3925,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2015,TO,FULL_12_MONTHS,12,12,254,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2016,AC,FULL_12_MONTHS,12,12,315,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2016,AL,FULL_12_MONTHS,12,12,1661,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2016,AM,FULL_12_MONTHS,12,12,1035,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2016,AP,FULL_12_MONTHS,12,12,258,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2016,BA,FULL_12_MONTHS,12,12,6460,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2016,CE,FULL_12_MONTHS,12,12,3284,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2016,DF,FULL_12_MONTHS,12,12,582,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2016,ES,FULL_12_MONTHS,12,12,1147,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2016,GO,FULL_12_MONTHS,12,12,2010,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2016,MA,FULL_12_MONTHS,12,12,2036,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2016,MG,FULL_12_MONTHS,12,12,3948,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2016,MS,FULL_12_MONTHS,12,12,650,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2016,MT,FULL_12_MONTHS,12,12,1086,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2016,PA,FULL_12_MONTHS,12,12,3711,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2016,PB,FULL_12_MONTHS,12,12,1232,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2016,PE,FULL_12_MONTHS,12,12,4102,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2016,PI,FULL_12_MONTHS,12,12,587,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2016,PR,FULL_12_MONTHS,12,12,0,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2016,RJ,FULL_12_MONTHS,12,12,5644,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2016,RN,FULL_12_MONTHS,12,12,1732,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2016,RO,FULL_12_MONTHS,12,12,545,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2016,RR,FULL_12_MONTHS,12,12,87,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2016,RS,FULL_12_MONTHS,12,12,2931,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2016,SC,FULL_12_MONTHS,12,12,841,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2016,SE,FULL_12_MONTHS,12,12,1306,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2016,SP,FULL_12_MONTHS,12,12,3611,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2016,TO,FULL_12_MONTHS,12,12,356,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2017,AC,FULL_12_MONTHS,12,12,450,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2017,AL,FULL_12_MONTHS,12,12,1672,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2017,AM,FULL_12_MONTHS,12,12,1191,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2017,AP,FULL_12_MONTHS,12,12,265,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2017,BA,FULL_12_MONTHS,12,12,6131,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2017,CE,FULL_12_MONTHS,12,12,5004,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2017,DF,FULL_12_MONTHS,12,12,493,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2017,ES,FULL_12_MONTHS,12,12,1365,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2017,GO,FULL_12_MONTHS,12,12,2250,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2017,MA,FULL_12_MONTHS,12,12,1768,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2017,MG,FULL_12_MONTHS,12,12,3749,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2017,MS,FULL_12_MONTHS,12,12,625,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2017,MT,FULL_12_MONTHS,12,12,965,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2017,PA,FULL_12_MONTHS,12,12,3879,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2017,PB,FULL_12_MONTHS,12,12,1185,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2017,PE,FULL_12_MONTHS,12,12,4946,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2017,PI,FULL_12_MONTHS,12,12,546,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2017,PR,FULL_12_MONTHS,12,12,2177,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2017,RJ,FULL_12_MONTHS,12,12,5722,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2017,RN,FULL_12_MONTHS,12,12,1883,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2017,RO,FULL_12_MONTHS,12,12,669,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
