crime,year,measurement_concept,comparability_class,reporting_ufs,population_coverage_pct,all_27_ufs_report,raw_reported_total,balanced_sample_ufs,balanced_sample_codes,balanced_sample_total,balanced_sample_population,balanced_sample_rate_per_100k
Homicídio doloso,2015,vítimas,COMPARABLE,26,98.10574900623577,0,45958,27,AC AL AM AP BA CE DF ES GO MA MG MS MT PA PB PE PI PR RJ RN RO RR RS SC SE SP TO,,202403642,
Homicídio doloso,2016,vítimas,COMPARABLE,27,100.0,1,51157,27,AC AL AM AP BA CE DF ES GO MA MG MS MT PA PB PE PI PR RJ RN RO RR RS SC SE SP TO,51157,203871925,25.092714457863682
Homicídio doloso,2017,vítimas,COMPARABLE,27,100.0,1,55881,27,AC AL AM AP BA CE DF ES GO MA MG MS MT PA PB PE PI PR RJ RN RO RR RS SC SE SP TO,55881,205211557,27.230922476749203
Homicídio doloso,2018,vítimas,COMPARABLE,27,100.0,1,48517,27,AC AL AM AP BA CE DF ES GO MA MG MS MT PA PB PE PI PR RJ RN RO RR RS SC SE SP TO,48517,206529038,23.49161186718935
Homicídio doloso,2019,vítimas,COMPARABLE,27,100.0,1,39228,27,AC AL AM AP BA CE DF ES GO MA MG MS MT PA PB PE PI PR RJ RN RO RR RS SC SE SP TO,39228,207900099,18.868677883602164
Homicídio doloso,2020,vítimas,COMPARABLE,27,100.0,1,41595,27,AC AL AM AP BA CE DF ES GO MA MG MS MT PA PB PE PI PR RJ RN RO RR RS SC SE SP TO,41595,209164889,19.886224786034717
Homicídio doloso,2021,vítimas,COMPARABLE,27,100.0,1,39286,27,AC AL AM AP BA CE DF ES GO MA MG MS MT PA PB PE PI PR RJ RN RO RR RS SC SE SP TO,39286,210103642,18.698390768495102
Homicídio doloso,2022,vítimas,COMPARABLE,27,100.0,1,38578,27,AC AL AM AP BA CE DF ES GO MA MG MS MT PA PB PE PI PR RJ RN RO RR RS SC SE SP TO,38578,210862983,18.295292730445723
Homicídio doloso,2023,vítimas,COMPARABLE,27,100.0,1,37339,27,AC AL AM AP BA CE DF ES GO MA MG MS MT PA PB PE PI PR RJ RN RO RR RS SC SE SP TO,37339,211695158,17.6380982695882
Homicídio doloso,2024,vítimas,COMPARABLE,27,100.0,1,35136,27,AC AL AM AP BA CE DF ES GO MA MG MS MT PA PB PE PI PR RJ RN RO RR RS SC SE SP TO,35136,212583750,16.528074229568347
