crime,year,measurement_concept,comparability_class,sample_ufs,sample_codes,excluded_uf_codes,sample_population,sample_population_share_brazil_pct,count,rate_per_100k
Furto de veículo,2016,ocorrências,LIMITED_COVERAGE,22,AL AM AP BA CE DF MA MG MS MT PA PB PE PI RJ RN RR RS SC SE SP TO,AC ES GO PR RO,179568510,88.07907709705493,246810,137.44614799109266
Furto de veículo,2017,ocorrências,LIMITED_COVERAGE,22,AL AM AP BA CE DF MA MG MS MT PA PB PE PI RJ RN RR RS SC SE SP TO,AC ES GO PR RO,180680217,88.04582921224072,232074,128.44460995970576
Furto de veículo,2018,ocorrências,LIMITED_COVERAGE,22,AL AM AP BA CE DF MA MG MS MT PA PB PE PI RJ RN RR RS SC SE SP TO,AC ES GO PR RO,181776097,88.01478899059221,211486,116.34422979166507
Furto de veículo,2019,ocorrências,LIMITED_COVERAGE,22,AL AM AP BA CE DF MA MG MS MT PA PB PE PI RJ RN RR RS SC SE SP TO,AC ES GO PR RO,182916648,87.98295377435102,198236,108.37504522825063
Furto de veículo,2020,ocorrências,LIMITED_COVERAGE,22,AL AM AP BA CE DF MA MG MS MT PA PB PE PI RJ RN RR RS SC SE SP TO,AC ES GO PR RO,183955735,87.94771239067758,154113,83.77721955773762
Furto de veículo,2021,ocorrências,LIMITED_COVERAGE,22,AL AM AP BA CE DF MA MG MS MT PA PB PE PI RJ RN RR RS SC SE SP TO,AC ES GO PR RO,184713881,87.91560167243556,168428,91.1831850904589
Furto de veículo,2022,ocorrências,LIMITED_COVERAGE,22,AL AM AP BA CE DF MA MG MS MT PA PB PE PI RJ RN RR RS SC SE SP TO,AC ES GO PR RO,185316910,87.88498927761067,202414,109.22586611227221
Furto de veículo,2023,ocorrências,LIMITED_COVERAGE,22,AL AM AP BA CE DF MA MG MS MT PA PB PE PI RJ RN RR RS SC SE SP TO,AC ES GO PR RO,185973928,87.84987325973701,197049,105.95517453392715
Furto de veículo,2024,ocorrências,LIMITED_COVERAGE,22,AL AM AP BA CE DF MA MG MS MT PA PB PE PI RJ RN RR RS SC SE SP TO,AC ES GO PR RO,186679615,87.81462129631262,194808,104.35418993123594
Furto de veículo,2025,ocorrências,LIMITED_COVERAGE,22,AL AM AP BA CE DF MA MG MS MT PA PB PE PI RJ RN RR RS SC SE SP TO,AC ES GO PR RO,187343648,87.78124716918136,183841,98.13036201793189
Roubo de veículo,2016,ocorrências,LIMITED_COVERAGE,22,AL AM AP BA CE DF MA MG MS MT PA PB PE PI RJ RN RR RS SC SE SP TO,AC ES GO PR RO,179568510,88.07907709705493,250540,139.52334961179997
Roubo de veículo,2017,ocorrências,LIMITED_COVERAGE,22,AL AM AP BA CE DF MA MG MS MT PA PB PE PI RJ RN RR RS SC SE SP TO,AC ES GO PR RO,180680217,88.04582921224072,256057,141.71833765287099
Roubo de veículo,2018,ocorrências,LIMITED_COVERAGE,22,AL AM AP BA CE DF MA MG MS MT PA PB PE PI RJ RN RR RS SC SE SP TO,AC ES GO PR RO,181776097,88.01478899059221,226237,124.45915812572431
Roubo de veículo,2019,ocorrências,LIMITED_COVERAGE,22,AL AM AP BA CE DF MA MG MS MT PA PB PE PI RJ RN RR RS SC SE SP TO,AC ES GO PR RO,182916648,87.98295377435102,173287,94.73549941719902
Roubo de veículo,2020,ocorrências,LIMITED_COVERAGE,22,AL AM AP BA CE DF MA MG MS MT PA PB PE PI RJ RN RR RS SC SE SP TO,AC ES GO PR RO,183955735,87.94771239067758,133375,72.5038553432433
Roubo de veículo,2021,ocorrências,LIMITED_COVERAGE,22,AL AM AP BA CE DF MA MG MS MT PA PB PE PI RJ RN RR RS SC SE SP TO,AC ES GO PR RO,184713881,87.91560167243556,129510,70.11384271656335
Roubo de veículo,2022,ocorrências,LIMITED_COVERAGE,22,AL AM AP BA CE DF MA MG MS MT PA PB PE PI RJ RN RR RS SC SE SP TO,AC ES GO PR RO,185316910,87.88498927761067,137763,74.33914152788323
Roubo de veículo,2023,ocorrências,LIMITED_COVERAGE,22,AL AM AP BA CE DF MA MG MS MT PA PB PE PI RJ RN RR RS SC SE SP TO,AC ES GO PR RO,185973928,87.84987325973701,126876,68.22246610826008
Roubo de veículo,2024,ocorrências,LIMITED_COVERAGE,22,AL AM AP BA CE DF MA MG MS MT PA PB PE PI RJ RN RR RS SC SE SP TO,AC ES GO PR RO,186679615,87.81462129631262,120289,64.43606603752637
Roubo de veículo,2025,ocorrências,LIMITED_COVERAGE,22,AL AM AP BA CE DF MA MG MS MT PA PB PE PI RJ RN RR RS SC SE SP TO,AC ES GO PR RO,187343648,87.78124716918136,100135,53.449903996745064
Roubo de carga,2016,ocorrências,LIMITED_COVERAGE,20,AL AM AP BA CE DF MA MG MT PA PB PE PI RJ RN RR RS SC SP TO,AC ES GO MS PR RO SE,174685442,85.683912583844,22622,12.950134676935471
Roubo de carga,2017,ocorrências,LIMITED_COVERAGE,20,AL AM AP BA CE DF MA MG MT PA PB PE PI RJ RN RR RS SC SP TO,AC ES GO MS PR RO SE,175751938,85.64426905059737,24279,13.814356914801133
Roubo de carga,2018,ocorrências,LIMITED_COVERAGE,20,AL AM AP BA CE DF MA MG MT PA PB PE PI RJ RN RR RS SC SP TO,AC ES GO MS PR RO SE,176802868,85.6067842624629,20517,11.604449764921235
Roubo de carga,2019,ocorrências,LIMITED_COVERAGE,20,AL AM AP BA CE DF MA MG MT PA PB PE PI RJ RN RR RS SC SP TO,AC ES GO MS PR RO SE,177898320,85.56913674196952,16861,9.477886019384556
Roubo de carga,2020,ocorrências,LIMITED_COVERAGE,20,AL AM AP BA CE DF MA MG MT PA PB PE PI RJ RN RR RS SC SP TO,AC ES GO MS PR RO SE,178894651,85.52805007345187,12626,7.057785087157246
Roubo de carga,2021,ocorrências,LIMITED_COVERAGE,20,AL AM AP BA CE DF MA MG MT PA PB PE PI RJ RN RR RS SC SP TO,AC ES GO MS PR RO SE,179617001,85.48971321496654,12698,7.0694867018740615
Roubo de carga,2022,ocorrências,LIMITED_COVERAGE,20,AL AM AP BA CE DF MA MG MT PA PB PE PI RJ RN RR RS SC SP TO,AC ES GO MS PR RO SE,180188944,85.45309443905572,12530,6.953811772158452
Roubo de carga,2023,ocorrências,LIMITED_COVERAGE,20,AL AM AP BA CE DF MA MG MT PA PB PE PI RJ RN RR RS SC SP TO,AC ES GO MS PR RO SE,180813925,85.41240466161253,11371,6.288785556753995
Roubo de carga,2024,ocorrências,LIMITED_COVERAGE,20,AL AM AP BA CE DF MA MG MT PA PB PE PI RJ RN RR RS SC SP TO,AC ES GO MS PR RO SE,181486643,85.37183251306838,10070,5.548617701854786
Roubo de carga,2025,ocorrências,LIMITED_COVERAGE,20,AL AM AP BA CE DF MA MG MT PA PB PE PI RJ RN RR RS SC SP TO,AC ES GO MS PR RO SE,182119592,85.33347722417824,8406,4.615648381202172
Roubo a instituição financeira,2016,ocorrências,LIMITED_COVERAGE,20,AL AM BA CE DF MA MG MT PA PB PE PI RJ RN RR RS SC SE SP TO,AC AP ES GO MS PR RO,176126806,86.39090742876931,884,0.5019111060243721
Roubo a instituição financeira,2017,ocorrências,LIMITED_COVERAGE,20,AL AM BA CE DF MA MG MT PA PB PE PI RJ RN RR RS SC SE SP TO,AC AP ES GO MS PR RO,177199102,86.349474946969,952,0.5372487722877963
Roubo a instituição financeira,2018,ocorrências,LIMITED_COVERAGE,20,AL AM BA CE DF MA MG MT PA PB PE PI RJ RN RR RS SC SE SP TO,AC AP ES GO MS PR RO,178257152,86.310938997353,692,0.3882032177873009
Roubo a instituição financeira,2019,ocorrências,LIMITED_COVERAGE,20,AL AM BA CE DF MA MG MT PA PB PE PI RJ RN RR RS SC SE SP TO,AC AP ES GO MS PR RO,179360152,86.2722783022821,329,0.18342981778918208
Roubo a instituição financeira,2020,ocorrências,LIMITED_COVERAGE,20,AL AM BA CE DF MA MG MT PA PB PE PI RJ RN RR RS SC SE SP TO,AC AP ES GO MS PR RO,180363336,86.23021620038725,226,0.12530262802413458
Roubo a instituição financeira,2021,ocorrências,LIMITED_COVERAGE,20,AL AM BA CE DF MA MG MT PA PB PE PI RJ RN RR RS SC SE SP TO,AC AP ES GO MS PR RO,181091067,86.19130314742473,241,0.1330822132711825
Roubo a instituição financeira,2022,ocorrências,LIMITED_COVERAGE,20,AL AM BA CE DF MA MG MT PA PB PE PI RJ RN RR RS SC SE SP TO,AC AP ES GO MS PR RO,181667076,86.15408613469155,176,0.09688051565270968
Roubo a instituição financeira,2023,ocorrências,LIMITED_COVERAGE,20,AL AM BA CE DF MA MG MT PA PB PE PI RJ RN RR RS SC SE SP TO,AC AP ES GO MS PR RO,182296795,86.11287887841063,96,0.05266137564294534
Roubo a instituição financeira,2024,ocorrências,LIMITED_COVERAGE,20,AL AM BA CE DF MA MG MT PA PB PE PI RJ RN RR RS SC SE SP TO,AC AP ES GO MS PR RO,182974883,86.07190483750522,78,0.04262880168093891
Roubo a instituição financeira,2025,ocorrências,LIMITED_COVERAGE,20,AL AM BA CE DF MA MG MT PA PB PE PI RJ RN RR RS SC SE SP TO,AC AP ES GO MS PR RO,183612500,86.03299027171347,55,0.029954387637007283
