uf,year,crime,count,population,rate_per_100k,measurement_concept,reporting_status,comparability_class,definition_version_flag
AC,2015,Homicídio doloso,173,826677,20.927157765366644,vítimas,FULL_12_MONTHS,COMPARABLE,standard_vde_indicator
AL,2015,Homicídio doloso,1635,3181178,51.3960551720149,vítimas,FULL_12_MONTHS,COMPARABLE,standard_vde_indicator
AM,2015,Homicídio doloso,1201,3859110,31.12116524276323,vítimas,FULL_12_MONTHS,COMPARABLE,standard_vde_indicator
AP,2015,Homicídio doloso,235,747050,31.457064453517166,vítimas,FULL_12_MONTHS,COMPARABLE,standard_vde_indicator
BA,2015,Homicídio doloso,5709,14470447,39.45282409036846,vítimas,FULL_12_MONTHS,COMPARABLE,standard_vde_indicator
CE,2015,Homicídio doloso,3923,8816218,44.49753851368013,vítimas,FULL_12_MONTHS,COMPARABLE,standard_vde_indicator
DF,2015,Homicídio doloso,616,2794821,22.040767548261588,vítimas,FULL_12_MONTHS,COMPARABLE,standard_vde_indicator
GO,2015,Homicídio doloso,0,6630429,0.0,vítimas,FULL_12_MONTHS,COMPARABLE,standard_vde_indicator
MA,2015,Homicídio doloso,1981,6831416,28.99838042361935,vítimas,FULL_12_MONTHS,COMPARABLE,standard_vde_indicator
MG,2015,Homicídio doloso,3963,20470203,19.359847090915512,vítimas,FULL_12_MONTHS,COMPARABLE,standard_vde_indicator
MS,2015,Homicídio doloso,638,2652939,24.04880021741925,vítimas,FULL_12_MONTHS,COMPARABLE,standard_vde_indicator
MT,2015,Homicídio doloso,1120,3327512,33.65878169635452,vítimas,FULL_12_MONTHS,COMPARABLE,standard_vde_indicator
PA,2015,Homicídio doloso,3363,8131409,41.358145925263386,vítimas,FULL_12_MONTHS,COMPARABLE,standard_vde_indicator
PB,2015,Homicídio doloso,1414,3932039,35.960986144847496,vítimas,FULL_12_MONTHS,COMPARABLE,standard_vde_indicator
PE,2015,Homicídio doloso,3713,9213107,40.3012794706498,vítimas,FULL_12_MONTHS,COMPARABLE,standard_vde_indicator
PI,2015,Homicídio doloso,585,3255812,17.9678679235779,vítimas,FULL_12_MONTHS,COMPARABLE,standard_vde_indicator
PR,2015,Homicídio doloso,0,11101864,0.0,vítimas,FULL_12_MONTHS,COMPARABLE,standard_vde_indicator
RJ,2015,Homicídio doloso,4858,16971856,28.623858227408952,vítimas,FULL_12_MONTHS,COMPARABLE,standard_vde_indicator
