iso3,country,region,subregion,year,homicide_rate_per_100k,percentile_unweighted,included_common_sample,inclusion_reason
ABW,Aruba,Americas,Latin America and the Caribbean,2016,,,0,MISSING_2016_AND_2024
AFG,Afghanistan,Asia,Southern Asia,2016,6.6799974594108,,0,MISSING_2024
AGO,Angola,Africa,Sub-Saharan Africa,2016,4.09826656345614,,0,MISSING_2024
AIA,Anguilla,Americas,Latin America and the Caribbean,2016,,,0,MISSING_2016_AND_2024
ALB,Albania,Europe,Southern Europe,2016,2.72614352662554,50.0,1,INCLUDED_OBSERVED_BOTH_YEARS
AND,Andorra,Europe,Southern Europe,2016,,,0,MISSING_2016_AND_2024
ARE,United Arab Emirates,Asia,Western Asia,2016,,,0,MISSING_2016_AND_2024
ARG,Argentina,Americas,Latin America and the Caribbean,2016,5.97945616037571,65.11627906976744,1,INCLUDED_OBSERVED_BOTH_YEARS
ARM,Armenia,Asia,Western Asia,2016,2.98068464955971,51.16279069767442,1,INCLUDED_OBSERVED_BOTH_YEARS
ASM,American Samoa,Oceania,Polynesia,2016,0.0,,0,MISSING_2024
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,2016,,,0,MISSING_2016
AUS,Australia,Oceania,Australia and New Zealand,2016,0.933005940041915,20.930232558139537,1,INCLUDED_OBSERVED_BOTH_YEARS
AUT,Austria,Europe,Western Europe,2016,0.617996363091403,12.790697674418604,1,INCLUDED_OBSERVED_BOTH_YEARS
AZE,Azerbaijan,Asia,Western Asia,2016,1.71253212771072,46.51162790697674,1,INCLUDED_OBSERVED_BOTH_YEARS
BDI,Burundi,Africa,Sub-Saharan Africa,2016,5.64974214487878,,0,MISSING_2024
BEL,Belgium,Europe,Western Europe,2016,,,0,MISSING_2016_AND_2024
BGD,Bangladesh,Asia,Southern Asia,2016,2.23304324758363,,0,MISSING_2024
BGR,Bulgaria,Europe,Eastern Europe,2016,1.10839328712128,30.232558139534884,1,INCLUDED_OBSERVED_BOTH_YEARS
BHR,Bahrain,Asia,Western Asia,2016,0.279797762177498,,0,MISSING_2024
BHS,Bahamas,Americas,Latin America and the Caribbean,2016,28.6041558488412,90.69767441860465,1,INCLUDED_OBSERVED_BOTH_YEARS
BIH,Bosnia and Herzegovina,Europe,Southern Europe,2016,1.29570864177198,33.72093023255814,1,INCLUDED_OBSERVED_BOTH_YEARS
BLR,Belarus,Europe,Eastern Europe,2016,3.23189754442635,52.325581395348834,1,INCLUDED_OBSERVED_BOTH_YEARS
BLZ,Belize,Americas,Latin America and the Caribbean,2016,37.8388012229062,,0,MISSING_2024
BMU,Bermuda,Americas,Northern America,2016,12.6086511107434,,0,MISSING_2024
BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,2016,5.74238712195448,62.7906976744186,1,INCLUDED_OBSERVED_BOTH_YEARS
BRA,Brazil,Americas,Latin America and the Caribbean,2016,30.1193623667804,91.86046511627907,1,INCLUDED_OBSERVED_BOTH_YEARS
BRB,Barbados,Americas,Latin America and the Caribbean,2016,7.86845375942203,70.93023255813954,1,INCLUDED_OBSERVED_BOTH_YEARS
BRN,Brunei Darussalam,Asia,South-eastern Asia,2016,,,0,MISSING_2016_AND_2024
BTN,Bhutan,Asia,Southern Asia,2016,1.20342414282773,,0,MISSING_2024
BWA,Botswana,Africa,Sub-Saharan Africa,2016,,,0,MISSING_2016_AND_2024
CAN,Canada,Americas,Northern America,2016,1.69447965211893,44.18604651162791,1,INCLUDED_OBSERVED_BOTH_YEARS
