iso3,country,region,subregion,year,homicide_rate_per_100k,source,status
ABW,Aruba,Americas,Latin America and the Caribbean,2003,4.33322500270827,MD,observed_official_unodc
ABW,Aruba,Americas,Latin America and the Caribbean,2004,2.14563497385007,MD,observed_official_unodc
ABW,Aruba,Americas,Latin America and the Caribbean,2005,6.36739891754218,MD,observed_official_unodc
ABW,Aruba,Americas,Latin America and the Caribbean,2006,5.24150221453469,MD,observed_official_unodc
ABW,Aruba,Americas,Latin America and the Caribbean,2007,3.10600805491422,MD,observed_official_unodc
ABW,Aruba,Americas,Latin America and the Caribbean,2008,5.1122392118972,MD,observed_official_unodc
ABW,Aruba,Americas,Latin America and the Caribbean,2009,4.03936359826509,MD,observed_official_unodc
ABW,Aruba,Americas,Latin America and the Caribbean,2010,3.99546514705809,MD,observed_official_unodc
ABW,Aruba,Americas,Latin America and the Caribbean,2011,1.98057060239055,MD,observed_official_unodc
ABW,Aruba,Americas,Latin America and the Caribbean,2012,3.93068241560088,MD,observed_official_unodc
ABW,Aruba,Americas,Latin America and the Caribbean,2013,5.85037661799478,MD,observed_official_unodc
ABW,Aruba,Americas,Latin America and the Caribbean,2014,1.93475053810249,MD,observed_official_unodc
AFG,Afghanistan,Asia,Southern Asia,2009,4.05954969836362,NSO,observed_official_unodc
AFG,Afghanistan,Asia,Southern Asia,2010,3.47545228477135,NSO,observed_official_unodc
AFG,Afghanistan,Asia,Southern Asia,2011,4.19453539608613,NSO,observed_official_unodc
AFG,Afghanistan,Asia,Southern Asia,2012,6.37433845786952,NSO,observed_official_unodc
AFG,Afghanistan,Asia,Southern Asia,2015,9.95218590955213,NSO,observed_official_unodc
AFG,Afghanistan,Asia,Southern Asia,2016,6.6799974594108,NSO,observed_official_unodc
AFG,Afghanistan,Asia,Southern Asia,2017,6.79202120758186,NSO,observed_official_unodc
AFG,Afghanistan,Asia,Southern Asia,2018,6.73324816708819,NSO,observed_official_unodc
AFG,Afghanistan,Asia,Southern Asia,2019,7.16396695794585,NSO,observed_official_unodc
AFG,Afghanistan,Asia,Southern Asia,2020,6.57810893906391,NSO,observed_official_unodc
AFG,Afghanistan,Asia,Southern Asia,2021,4.0324584656778,NSO,observed_official_unodc
AFG,Afghanistan,Asia,Southern Asia,2022,4.12283820223357,NSO,observed_official_unodc
AFG,Afghanistan,Asia,Southern Asia,2023,4.22388154644047,NSO,observed_official_unodc
AGO,Angola,Africa,Sub-Saharan Africa,2011,4.35620071002768,NSO,observed_official_unodc
AGO,Angola,Africa,Sub-Saharan Africa,2012,4.83370121625773,NSO,observed_official_unodc
AGO,Angola,Africa,Sub-Saharan Africa,2015,4.45347324389499,NSO,observed_official_unodc
AGO,Angola,Africa,Sub-Saharan Africa,2016,4.09826656345614,NSO,observed_official_unodc
AIA,Anguilla,Americas,Latin America and the Caribbean,2003,16.842814434292,NSO/SDG/PAHO,observed_official_unodc
AIA,Anguilla,Americas,Latin America and the Caribbean,2004,8.28672053035011,NSO/SDG/PAHO,observed_official_unodc
AIA,Anguilla,Americas,Latin America and the Caribbean,2005,0.0,NSO/SDG/PAHO,observed_official_unodc
AIA,Anguilla,Americas,Latin America and the Caribbean,2006,40.0978387264926,NSO/SDG/PAHO,observed_official_unodc
AIA,Anguilla,Americas,Latin America and the Caribbean,2007,31.5556958030925,NSO/SDG/PAHO,observed_official_unodc
AIA,Anguilla,Americas,Latin America and the Caribbean,2008,7.7582528414601,NSO/SDG/PAHO,observed_official_unodc
AIA,Anguilla,Americas,Latin America and the Caribbean,2009,7.62572921035574,NSO/SDG/PAHO,observed_official_unodc
AIA,Anguilla,Americas,Latin America and the Caribbean,2010,0.0,NSO/SDG/PAHO,observed_official_unodc
AIA,Anguilla,Americas,Latin America and the Caribbean,2011,0.0,NSO/SDG/PAHO,observed_official_unodc
AIA,Anguilla,Americas,Latin America and the Caribbean,2012,37.372000896928,NSO/SDG/PAHO,observed_official_unodc
AIA,Anguilla,Americas,Latin America and the Caribbean,2013,7.54603078780561,NSO/SDG/PAHO,observed_official_unodc
AIA,Anguilla,Americas,Latin America and the Caribbean,2014,29.136467931675,NSO/SDG/PAHO,observed_official_unodc
ALB,Albania,Europe,Southern Europe,2003,5.32377619293878,MD/CTS/GSH 2023 Revision/NSO,observed_official_unodc
ALB,Albania,Europe,Southern Europe,2004,4.22763729131083,MD/CTS/GSH 2023 Revision/NSO,observed_official_unodc
ALB,Albania,Europe,Southern Europe,2005,5.00624317533652,MD/CTS/GSH 2023 Revision/NSO,observed_official_unodc
ALB,Albania,Europe,Southern Europe,2006,3.11392865202781,MD/CTS/GSH 2023 Revision/NSO,observed_official_unodc
ALB,Albania,Europe,Southern Europe,2007,3.47350066343863,MD/CTS/GSH 2023 Revision/NSO,observed_official_unodc
ALB,Albania,Europe,Southern Europe,2008,3.10732240524797,MD/CTS/GSH 2023 Revision/NSO,observed_official_unodc
ALB,Albania,Europe,Southern Europe,2009,2.87018701294404,MD/CTS/GSH 2023 Revision/NSO,observed_official_unodc
ALB,Albania,Europe,Southern Europe,2010,4.06320641959299,MD/CTS/GSH 2023 Revision/NSO,observed_official_unodc
ALB,Albania,Europe,Southern Europe,2011,4.87720435898422,MD/CTS/GSH 2023 Revision/NSO,observed_official_unodc
ALB,Albania,Europe,Southern Europe,2012,5.39518158737926,MD/CTS/GSH 2023 Revision/NSO,observed_official_unodc
ALB,Albania,Europe,Southern Europe,2013,4.26472598705621,MD/CTS/GSH 2023 Revision/NSO,observed_official_unodc
ALB,Albania,Europe,Southern Europe,2014,4.6147231364138,MD/CTS/GSH 2023 Revision/NSO,observed_official_unodc
ALB,Albania,Europe,Southern Europe,2015,2.20793808941597,MD/CTS/GSH 2023 Revision/NSO,observed_official_unodc
ALB,Albania,Europe,Southern Europe,2016,2.72614352662554,MD/CTS/GSH 2023 Revision/NSO,observed_official_unodc
ALB,Albania,Europe,Southern Europe,2017,2.00121280396654,MD/CTS/GSH 2023 Revision/NSO,observed_official_unodc
ALB,Albania,Europe,Southern Europe,2018,2.28039848927055,MD/CTS/GSH 2023 Revision/NSO,observed_official_unodc
ALB,Albania,Europe,Southern Europe,2019,2.25302550996799,MD/CTS/GSH 2023 Revision/NSO,observed_official_unodc
ALB,Albania,Europe,Southern Europe,2020,2.12398982086583,MD/CTS/GSH 2023 Revision/NSO,observed_official_unodc
ALB,Albania,Europe,Southern Europe,2021,2.31608568885389,MD/CTS/GSH 2023 Revision/NSO,observed_official_unodc
ALB,Albania,Europe,Southern Europe,2022,1.6975478920699,MD/CTS/GSH 2023 Revision/NSO,observed_official_unodc
ALB,Albania,Europe,Southern Europe,2023,1.38708340817063,MD/CTS/GSH 2023 Revision/NSO,observed_official_unodc
ALB,Albania,Europe,Southern Europe,2024,1.75516237132466,MD/CTS/GSH 2023 Revision/NSO,observed_official_unodc
AND,Andorra,Europe,Southern Europe,2004,1.34544231416078,Interpol/CTS,observed_official_unodc
AND,Andorra,Europe,Southern Europe,2007,0.0,Interpol/CTS,observed_official_unodc
