year,crime,measurement_concept,geographic_sample,reporting_ufs,population_coverage_pct,excluded_uf_codes,population,count,rate_per_100k,plotted_value,plot_unit
2016,Vehicle theft,incidents,AL AM AP BA CE DF MA MG MS MT PA PB PE PI RJ RN RR RS SC SE SP TO,22,88.07907709705493,AC ES GO PR RO,179568510,246810,137.44614799109266,137.44614799109266,"incidents per 100,000 inhabitants"
2017,Vehicle theft,incidents,AL AM AP BA CE DF MA MG MS MT PA PB PE PI RJ RN RR RS SC SE SP TO,22,88.04582921224072,AC ES GO PR RO,180680217,232074,128.44460995970576,128.44460995970576,"incidents per 100,000 inhabitants"
2018,Vehicle theft,incidents,AL AM AP BA CE DF MA MG MS MT PA PB PE PI RJ RN RR RS SC SE SP TO,22,88.01478899059221,AC ES GO PR RO,181776097,211486,116.34422979166507,116.34422979166507,"incidents per 100,000 inhabitants"
2019,Vehicle theft,incidents,AL AM AP BA CE DF MA MG MS MT PA PB PE PI RJ RN RR RS SC SE SP TO,22,87.98295377435102,AC ES GO PR RO,182916648,198236,108.37504522825063,108.37504522825063,"incidents per 100,000 inhabitants"
2020,Vehicle theft,incidents,AL AM AP BA CE DF MA MG MS MT PA PB PE PI RJ RN RR RS SC SE SP TO,22,87.94771239067758,AC ES GO PR RO,183955735,154113,83.77721955773762,83.77721955773762,"incidents per 100,000 inhabitants"
2021,Vehicle theft,incidents,AL AM AP BA CE DF MA MG MS MT PA PB PE PI RJ RN RR RS SC SE SP TO,22,87.91560167243556,AC ES GO PR RO,184713881,168428,91.1831850904589,91.1831850904589,"incidents per 100,000 inhabitants"
2022,Vehicle theft,incidents,AL AM AP BA CE DF MA MG MS MT PA PB PE PI RJ RN RR RS SC SE SP TO,22,87.88498927761067,AC ES GO PR RO,185316910,202414,109.22586611227221,109.22586611227221,"incidents per 100,000 inhabitants"
2023,Vehicle theft,incidents,AL AM AP BA CE DF MA MG MS MT PA PB PE PI RJ RN RR RS SC SE SP TO,22,87.84987325973701,AC ES GO PR RO,185973928,197049,105.95517453392715,105.95517453392715,"incidents per 100,000 inhabitants"
2024,Vehicle theft,incidents,AL AM AP BA CE DF MA MG MS MT PA PB PE PI RJ RN RR RS SC SE SP TO,22,87.81462129631262,AC ES GO PR RO,186679615,194808,104.35418993123594,104.35418993123594,"incidents per 100,000 inhabitants"
2025,Vehicle theft,incidents,AL AM AP BA CE DF MA MG MS MT PA PB PE PI RJ RN RR RS SC SE SP TO,22,87.78124716918136,AC ES GO PR RO,187343648,183841,98.13036201793189,98.13036201793189,"incidents per 100,000 inhabitants"
2016,Vehicle robbery,incidents,AL AM AP BA CE DF MA MG MS MT PA PB PE PI RJ RN RR RS SC SE SP TO,22,88.07907709705493,AC ES GO PR RO,179568510,250540,139.52334961179997,139.52334961179997,"incidents per 100,000 inhabitants"
2017,Vehicle robbery,incidents,AL AM AP BA CE DF MA MG MS MT PA PB PE PI RJ RN RR RS SC SE SP TO,22,88.04582921224072,AC ES GO PR RO,180680217,256057,141.71833765287099,141.71833765287099,"incidents per 100,000 inhabitants"
2018,Vehicle robbery,incidents,AL AM AP BA CE DF MA MG MS MT PA PB PE PI RJ RN RR RS SC SE SP TO,22,88.01478899059221,AC ES GO PR RO,181776097,226237,124.45915812572431,124.45915812572431,"incidents per 100,000 inhabitants"
2019,Vehicle robbery,incidents,AL AM AP BA CE DF MA MG MS MT PA PB PE PI RJ RN RR RS SC SE SP TO,22,87.98295377435102,AC ES GO PR RO,182916648,173287,94.73549941719902,94.73549941719902,"incidents per 100,000 inhabitants"
2020,Vehicle robbery,incidents,AL AM AP BA CE DF MA MG MS MT PA PB PE PI RJ RN RR RS SC SE SP TO,22,87.94771239067758,AC ES GO PR RO,183955735,133375,72.5038553432433,72.5038553432433,"incidents per 100,000 inhabitants"
2021,Vehicle robbery,incidents,AL AM AP BA CE DF MA MG MS MT PA PB PE PI RJ RN RR RS SC SE SP TO,22,87.91560167243556,AC ES GO PR RO,184713881,129510,70.11384271656335,70.11384271656335,"incidents per 100,000 inhabitants"
2022,Vehicle robbery,incidents,AL AM AP BA CE DF MA MG MS MT PA PB PE PI RJ RN RR RS SC SE SP TO,22,87.88498927761067,AC ES GO PR RO,185316910,137763,74.33914152788323,74.33914152788323,"incidents per 100,000 inhabitants"
2023,Vehicle robbery,incidents,AL AM AP BA CE DF MA MG MS MT PA PB PE PI RJ RN RR RS SC SE SP TO,22,87.84987325973701,AC ES GO PR RO,185973928,126876,68.22246610826008,68.22246610826008,"incidents per 100,000 inhabitants"
