year,crime,measurement_concept,geographic_sample,reporting_ufs,population_coverage_pct,population,count,rate_per_100k,plotted_value,plot_unit
2016,Homicídio doloso,vítimas,Brasil — 27 UFs,27,100.0,203871925,51157,25.092714457863682,51157,vítimas
2017,Homicídio doloso,vítimas,Brasil — 27 UFs,27,100.0,205211557,55881,27.230922476749203,55881,vítimas
2018,Homicídio doloso,vítimas,Brasil — 27 UFs,27,100.0,206529038,48517,23.49161186718935,48517,vítimas
2019,Homicídio doloso,vítimas,Brasil — 27 UFs,27,100.0,207900099,39228,18.868677883602164,39228,vítimas
2020,Homicídio doloso,vítimas,Brasil — 27 UFs,27,100.0,209164889,41595,19.886224786034717,41595,vítimas
2021,Homicídio doloso,vítimas,Brasil — 27 UFs,27,100.0,210103642,39286,18.698390768495102,39286,vítimas
2022,Homicídio doloso,vítimas,Brasil — 27 UFs,27,100.0,210862983,38578,18.295292730445723,38578,vítimas
2023,Homicídio doloso,vítimas,Brasil — 27 UFs,27,100.0,211695158,37339,17.6380982695882,37339,vítimas
2024,Homicídio doloso,vítimas,Brasil — 27 UFs,27,100.0,212583750,35136,16.528074229568347,35136,vítimas
2025,Homicídio doloso,vítimas,Brasil — 27 UFs,27,100.0,213421037,31492,14.75580872564123,31492,vítimas
2016,Latrocínio,vítimas,Brasil — 27 UFs,27,100.0,203871925,2421,1.187510246935668,2421,vítimas
2017,Latrocínio,vítimas,Brasil — 27 UFs,27,100.0,205211557,2349,1.144672373398541,2349,vítimas
2018,Latrocínio,vítimas,Brasil — 27 UFs,27,100.0,206529038,1988,0.9625765070382015,1988,vítimas
2019,Latrocínio,vítimas,Brasil — 27 UFs,27,100.0,207900099,1603,0.7710434038802454,1603,vítimas
2020,Latrocínio,vítimas,Brasil — 27 UFs,27,100.0,209164889,1461,0.6984919921239745,1461,vítimas
2021,Latrocínio,vítimas,Brasil — 27 UFs,27,100.0,210103642,1458,0.6939432301701843,1458,vítimas
2022,Latrocínio,vítimas,Brasil — 27 UFs,27,100.0,210862983,1241,0.5885338347888212,1241,vítimas
2023,Latrocínio,vítimas,Brasil — 27 UFs,27,100.0,211695158,1004,0.47426687010007096,1004,vítimas
2024,Latrocínio,vítimas,Brasil — 27 UFs,27,100.0,212583750,967,0.4548795474724667,967,vítimas
2025,Latrocínio,vítimas,Brasil — 27 UFs,27,100.0,213421037,799,0.3743773393810283,799,vítimas
2016,Tentativa de homicídio,vítimas,Brasil — 27 UFs,27,100.0,203871925,45002,22.073662177859948,45002,vítimas
2017,Tentativa de homicídio,vítimas,Brasil — 27 UFs,27,100.0,205211557,43316,21.10797297834449,43316,vítimas
2018,Tentativa de homicídio,vítimas,Brasil — 27 UFs,27,100.0,206529038,41399,20.045123146315145,41399,vítimas
2019,Tentativa de homicídio,vítimas,Brasil — 27 UFs,27,100.0,207900099,42354,20.372284671206433,42354,vítimas
2020,Tentativa de homicídio,vítimas,Brasil — 27 UFs,27,100.0,209164889,38296,18.3090002261326,38296,vítimas
2021,Tentativa de homicídio,vítimas,Brasil — 27 UFs,27,100.0,210103642,36004,17.136304567247816,36004,vítimas
2022,Tentativa de homicídio,vítimas,Brasil — 27 UFs,27,100.0,210862983,36862,17.481494132139826,36862,vítimas
2023,Tentativa de homicídio,vítimas,Brasil — 27 UFs,27,100.0,211695158,35207,16.630989736666532,35207,vítimas
2024,Tentativa de homicídio,vítimas,Brasil — 27 UFs,27,100.0,212583750,36973,17.392204248913664,36973,vítimas
2025,Tentativa de homicídio,vítimas,Brasil — 27 UFs,27,100.0,213421037,33917,15.892060350170635,33917,vítimas
2016,Estupro,vítimas,Brasil — 27 UFs,27,100.0,203871925,33595,16.478482753326627,33595,vítimas
2017,Estupro,vítimas,Brasil — 27 UFs,27,100.0,205211557,29423,14.337886437848137,29423,vítimas
2018,Estupro,vítimas,Brasil — 27 UFs,27,100.0,206529038,28361,13.732209414542472,28361,vítimas
2019,Estupro,vítimas,Brasil — 27 UFs,27,100.0,207900099,29026,13.961513313180289,29026,vítimas
2020,Estupro,vítimas,Brasil — 27 UFs,27,100.0,209164889,21820,10.431961169161617,21820,vítimas
2021,Estupro,vítimas,Brasil — 27 UFs,27,100.0,210103642,23729,11.293949868798562,23729,vítimas
2022,Estupro,vítimas,Brasil — 27 UFs,27,100.0,210862983,23227,11.015209815181263,23227,vítimas
2023,Estupro,vítimas,Brasil — 27 UFs,27,100.0,211695158,24711,11.67291695920603,24711,vítimas
2024,Estupro,vítimas,Brasil — 27 UFs,27,100.0,212583750,25222,11.864500461582788,25222,vítimas
2025,Estupro,vítimas,Brasil — 27 UFs,27,100.0,213421037,19877,9.31351486217359,19877,vítimas
2016,Estupro de vulnerável,vítimas,Brasil — 27 UFs,27,100.0,203871925,26003,12.754576187967029,26003,vítimas
2017,Estupro de vulnerável,vítimas,Brasil — 27 UFs,27,100.0,205211557,36002,17.543846226945202,36002,vítimas
2018,Estupro de vulnerável,vítimas,Brasil — 27 UFs,27,100.0,206529038,44455,21.524818219508678,44455,vítimas
2019,Estupro de vulnerável,vítimas,Brasil — 27 UFs,27,100.0,207900099,48524,23.34005622575485,48524,vítimas
2020,Estupro de vulnerável,vítimas,Brasil — 27 UFs,27,100.0,209164889,45306,21.66042313153237,45306,vítimas
2021,Estupro de vulnerável,vítimas,Brasil — 27 UFs,27,100.0,210103642,48853,23.251857766463658,48853,vítimas
2022,Estupro de vulnerável,vítimas,Brasil — 27 UFs,27,100.0,210862983,57288,27.168353204981454,57288,vítimas
2023,Estupro de vulnerável,vítimas,Brasil — 27 UFs,27,100.0,211695158,63709,30.09468927012492,63709,vítimas
2024,Estupro de vulnerável,vítimas,Brasil — 27 UFs,27,100.0,212583750,63919,30.067679208782423,63919,vítimas
