year,crime,measurement_concept,geographic_sample,reporting_ufs,population_coverage_pct,excluded_uf_codes,population,count,rate_per_100k,plotted_value,plot_unit
2016,Furto de veículo,ocorrências,AL AM AP BA CE DF MA MG MS MT PA PB PE PI RJ RN RR RS SC SE SP TO,22,88.07907709705493,AC ES GO PR RO,179568510,246810,137.44614799109266,246810,ocorrências
2017,Furto de veículo,ocorrências,AL AM AP BA CE DF MA MG MS MT PA PB PE PI RJ RN RR RS SC SE SP TO,22,88.04582921224072,AC ES GO PR RO,180680217,232074,128.44460995970576,232074,ocorrências
2018,Furto de veículo,ocorrências,AL AM AP BA CE DF MA MG MS MT PA PB PE PI RJ RN RR RS SC SE SP TO,22,88.01478899059221,AC ES GO PR RO,181776097,211486,116.34422979166507,211486,ocorrências
2019,Furto de veículo,ocorrências,AL AM AP BA CE DF MA MG MS MT PA PB PE PI RJ RN RR RS SC SE SP TO,22,87.98295377435102,AC ES GO PR RO,182916648,198236,108.37504522825063,198236,ocorrências
2020,Furto de veículo,ocorrências,AL AM AP BA CE DF MA MG MS MT PA PB PE PI RJ RN RR RS SC SE SP TO,22,87.94771239067758,AC ES GO PR RO,183955735,154113,83.77721955773762,154113,ocorrências
2021,Furto de veículo,ocorrências,AL AM AP BA CE DF MA MG MS MT PA PB PE PI RJ RN RR RS SC SE SP TO,22,87.91560167243556,AC ES GO PR RO,184713881,168428,91.1831850904589,168428,ocorrências
2022,Furto de veículo,ocorrências,AL AM AP BA CE DF MA MG MS MT PA PB PE PI RJ RN RR RS SC SE SP TO,22,87.88498927761067,AC ES GO PR RO,185316910,202414,109.22586611227221,202414,ocorrências
2023,Furto de veículo,ocorrências,AL AM AP BA CE DF MA MG MS MT PA PB PE PI RJ RN RR RS SC SE SP TO,22,87.84987325973701,AC ES GO PR RO,185973928,197049,105.95517453392715,197049,ocorrências
2024,Furto de veículo,ocorrências,AL AM AP BA CE DF MA MG MS MT PA PB PE PI RJ RN RR RS SC SE SP TO,22,87.81462129631262,AC ES GO PR RO,186679615,194808,104.35418993123594,194808,ocorrências
2025,Furto de veículo,ocorrências,AL AM AP BA CE DF MA MG MS MT PA PB PE PI RJ RN RR RS SC SE SP TO,22,87.78124716918136,AC ES GO PR RO,187343648,183841,98.13036201793189,183841,ocorrências
2016,Roubo de veículo,ocorrências,AL AM AP BA CE DF MA MG MS MT PA PB PE PI RJ RN RR RS SC SE SP TO,22,88.07907709705493,AC ES GO PR RO,179568510,250540,139.52334961179997,250540,ocorrências
2017,Roubo de veículo,ocorrências,AL AM AP BA CE DF MA MG MS MT PA PB PE PI RJ RN RR RS SC SE SP TO,22,88.04582921224072,AC ES GO PR RO,180680217,256057,141.71833765287099,256057,ocorrências
2018,Roubo de veículo,ocorrências,AL AM AP BA CE DF MA MG MS MT PA PB PE PI RJ RN RR RS SC SE SP TO,22,88.01478899059221,AC ES GO PR RO,181776097,226237,124.45915812572431,226237,ocorrências
2019,Roubo de veículo,ocorrências,AL AM AP BA CE DF MA MG MS MT PA PB PE PI RJ RN RR RS SC SE SP TO,22,87.98295377435102,AC ES GO PR RO,182916648,173287,94.73549941719902,173287,ocorrências
