microrregion_code,microrregion_name,uf,macroregion,start_year,end_year,homicides_start,population_start,rate_start_per_100k,homicides_end,population_end,rate_end_per_100k,delta_rate_per_100k,rate_average_2015_2017_per_100k,rate_average_2022_2024_per_100k,delta_average_rate_per_100k,visual_scale_limit,visual_value_clipped,visually_clipped
11001,Porto Velho,RO,Norte,2016,2024,300,648872.0,46.23408006509759,232,632578.0,36.67531909108442,-9.558760974013168,41.56656096052153,42.79720535914266,1.2306443986211306,45.0,-9.558760974013168,0
11002,Guajará-Mirim,RO,Norte,2016,2024,20,83432.0,23.97161760475597,33,74586.0,44.244228139329095,20.272610534573126,21.57738689853034,29.394062399395324,7.816675500864985,45.0,20.272610534573126,0
11003,Ariquemes,RO,Norte,2016,2024,100,201599.0,49.60342065188816,48,188703.0,25.436797507193845,-24.166623144694313,46.13827591681219,29.483756119270137,-16.654519797542054,45.0,-24.166623144694313,0
11004,Ji-Paraná,RO,Norte,2016,2024,99,317230.0,31.207641143649717,64,310174.0,20.633579861626053,-10.574061282023663,25.323638197713517,28.468005000466967,3.1443668027534493,45.0,-10.574061282023663,0
11005,Alvorada D'Oeste,RO,Norte,2016,2024,19,75248.0,25.249840527322984,15,65562.0,22.87910679967054,-2.3707337276524427,20.819951715431127,34.07673031151374,13.256778596082615,45.0,-2.3707337276524427,0
11006,Cacoal,RO,Norte,2016,2024,54,249644.0,21.63080226242169,45,254075.0,17.7113057168159,-3.9194965456057886,21.765081331969565,19.67501823034906,-2.0900631016205047,45.0,-3.9194965456057886,0
11007,Vilhena,RO,Norte,2016,2024,83,157201.0,52.79864631904377,63,170984.0,36.84555280026201,-15.953093518781756,43.26369433775797,33.7784258841606,-9.48526845359737,45.0,-15.953093518781756,0
11008,Colorado do Oeste,RO,Norte,2016,2024,14,54053.0,25.900505059848665,15,49565.0,30.26329062846767,4.362785568619003,20.96552404560618,26.34936484162645,5.383840796020269,45.0,4.362785568619003,0
12001,Cruzeiro do Sul,AC,Norte,2016,2024,28,145544.0,19.23816852635629,19,163474.0,11.622643356130027,-7.615525170226263,26.56948952223019,13.861673103943646,-12.707816418286543,45.0,-7.615525170226263,0
12002,Tarauacá,AC,Norte,2016,2024,24,79484.0,30.19475617734387,27,93948.0,28.739302592923746,-1.4554535844201233,32.29337482542705,26.364500200480055,-5.928874624946996,45.0,-1.4554535844201233,0
12003,Sena Madureira,AC,Norte,2016,2024,9,57237.0,15.724094554221919,6,63835.0,9.399232396020992,-6.3248621582009275,26.792162709969013,19.370929078185913,-7.4212336317831,45.0,-6.3248621582009275,0
12004,Rio Branco,AC,Norte,2016,2024,279,468316.0,59.57515865355871,108,484131.0,22.30801167452611,-37.2671469790326,56.94760820045558,26.073660926210124,-30.87394727424546,45.0,-37.2671469790326,0
