uf,ano,ponto,pib_estadual_reais_dez_2025,populacao,pib_per_capita_reais_dez_2025,custo_total_reais_dez_2025,custo_total_pib_pct,status_ano
AC,2016,início,21385682375.48,844137.0,25334.37389366892,1925150143.9688425,9.002051513568468,Preliminar: perdas produtivas UF e conceito de encarceramento em revisão
AC,2025,fim,30511673344.59,955012.0,31948.994719008766,2756383461.154197,9.033865268628178,Preliminar: perdas produtivas UF e conceito de encarceramento em revisão
AL,2016,início,76916120573.77,3293629.0,23353.000770205144,5043453676.792505,6.557082753485136,Preliminar: perdas produtivas UF e conceito de encarceramento em revisão
AL,2025,fim,104086034879.9,3415514.0,30474.486381815444,5978780923.852403,5.744075975947243,Preliminar: perdas produtivas UF e conceito de encarceramento em revisão
AM,2016,início,138442872845.76,3952171.0,35029.57560433494,6105619781.223656,4.410208814451547,Preliminar: perdas produtivas UF e conceito de encarceramento em revisão
AM,2025,fim,187766731088.94,4510151.0,41632.02763919434,8290465930.334393,4.415300773600529,Preliminar: perdas produtivas UF e conceito de encarceramento em revisão
AP,2016,início,22299766902.68,796419.0,28000.043824519507,2230756945.453926,10.00349893875273,Preliminar: perdas produtivas UF e conceito de encarceramento em revisão
AP,2025,fim,32517982762.03,938973.0,34631.43536824807,3206449890.924845,9.860543670220816,Preliminar: perdas produtivas UF e conceito de encarceramento em revisão
BA,2016,início,402298450863.96,14689684.0,27386.46051637054,21178927524.24742,5.26448150092659,Preliminar: perdas produtivas UF e conceito de encarceramento em revisão
BA,2025,fim,500171155613.39,15170253.0,32970.52169224798,26819572208.366486,5.36207894185262,Preliminar: perdas produtivas UF e conceito de encarceramento em revisão
CE,2016,início,215225273447.89,8962834.0,24013.082630771696,12972290627.682762,6.0273082337719,Preliminar: perdas produtivas UF e conceito de encarceramento em revisão
CE,2025,fim,269518912133.96,9435907.0,28563.116628211785,17678923988.18945,6.559437275927571,Preliminar: perdas produtivas UF e conceito de encarceramento em revisão
DF,2016,início,366227766339.55,2890224.0,126712.58917632335,8498433218.844789,2.3205321933360517,Preliminar: perdas produtivas UF e conceito de encarceramento em revisão
DF,2025,fim,424367273822.74,3239675.0,130990.69314753485,8263886158.677602,1.9473429428795825,Preliminar: perdas produtivas UF e conceito de encarceramento em revisão
ES,2016,início,169889012471.52,3879376.0,43792.870933758415,7554229772.854215,4.446567593134134,Preliminar: perdas produtivas UF e conceito de encarceramento em revisão
ES,2025,fim,243512152195.15,4275342.0,56957.35035820526,9024123833.813568,3.705820737267214,Preliminar: perdas produtivas UF e conceito de encarceramento em revisão
GO,2016,início,282607629065.97,6726130.0,42016.37926504096,17020672017.782732,6.022722059569576,Preliminar: perdas produtivas UF e conceito de encarceramento em revisão
GO,2025,fim,390802484261.62,7558218.0,51705.63805669802,13604992187.360611,3.481296239215523,Preliminar: perdas produtivas UF e conceito de encarceramento em revisão
MA,2016,início,132643707095.33,6955099.0,19071.43336066532,8254844417.264672,6.2233215566962246,Preliminar: perdas produtivas UF e conceito de encarceramento em revisão
MA,2025,fim,173181535941.77,7298196.0,23729.36215220446,10168341385.64784,5.871492783772752,Preliminar: perdas produtivas UF e conceito de encarceramento em revisão
MG,2016,início,847094688625.45,20780264.0,40764.385314135085,34750516241.90969,4.102317805616053,Preliminar: perdas produtivas UF e conceito de encarceramento em revisão
MG,2025,fim,1128001941010.96,21834171.0,51662.22894429837,34852828057.79231,3.089784404675388,Preliminar: perdas produtivas UF e conceito de encarceramento em revisão
MS,2016,início,142878067148.0,2685454.0,53204.43662337914,4856164223.259489,3.398817131414047,Preliminar: perdas produtivas UF e conceito de encarceramento em revisão
MS,2025,fim,214002830739.91,2951121.0,72515.7764591523,5567175728.658959,2.601449574012911,Preliminar: perdas produtivas UF e conceito de encarceramento em revisão
MT,2016,início,192614397994.3,3356979.0,57377.30203087359,7672887180.735005,3.9835480943444677,Preliminar: perdas produtivas UF e conceito de encarceramento em revisão
MT,2025,fim,316832641129.65,3722274.0,85118.03298995453,9443806734.105257,2.980692488133124,Preliminar: perdas produtivas UF e conceito de encarceramento em revisão
PA,2016,início,214735487971.96,8334346.0,25765.12757833188,12785227586.203253,5.953942549017673,Preliminar: perdas produtivas UF e conceito de encarceramento em revisão
PA,2025,fim,295406985947.91,9106465.0,32439.260014496293,15050953160.061579,5.094988905480915,Preliminar: perdas produtivas UF e conceito de encarceramento em revisão
PB,2016,início,91898649704.55,3953693.0,23243.749503198655,5091239717.697626,5.540059330649287,Preliminar: perdas produtivas UF e conceito de encarceramento em revisão
PB,2025,fim,112527957417.65,4135286.0,27211.65051646972,7164856663.224762,6.367179168313025,Preliminar: perdas produtivas UF e conceito de encarceramento em revisão
PE,2016,início,260195233682.26,9377368.0,27747.149699389,14678112099.087286,5.641191766414757,Preliminar: perdas produtivas UF e conceito de encarceramento em revisão
PE,2025,fim,313892264138.7,9890556.0,31736.564065629882,18322671722.99344,5.837248577396343,Preliminar: perdas produtivas UF e conceito de encarceramento em revisão
PI,2016,início,64396830019.88,3246228.0,19837.432866662475,4057453315.7355156,6.300703488794303,Preliminar: perdas produtivas UF e conceito de encarceramento em revisão
PI,2025,fim,93905842895.02,3313867.0,28337.23951354113,6531774115.256816,6.9556631556556825,Preliminar: perdas produtivas UF e conceito de encarceramento em revisão
PR,2016,início,624757900661.89,11176203.0,55900.72949300313,19625494368.507504,3.1412959080174225,Preliminar: perdas produtivas UF e conceito de encarceramento em revisão
PR,2025,fim,778616868775.64,11893264.0,65467.0466219904,22044833669.577164,2.8312812826984133,Preliminar: perdas produtivas UF e conceito de encarceramento em revisão
RJ,2016,início,995723269003.89,16947738.0,58752.57624373766,45124738169.14342,4.531855343130194,Preliminar: perdas produtivas UF e conceito de encarceramento em revisão
RJ,2025,fim,1361143848917.76,17805632.0,76444.56815224307,53864809006.210594,3.9573193567335503,Preliminar: perdas produtivas UF e conceito de encarceramento em revisão
RN,2016,início,92788964345.27,3422843.0,27108.740992581315,5806587156.041401,6.257842402933768,Preliminar: perdas produtivas UF e conceito de encarceramento em revisão
RN,2025,fim,118071891809.3,3660428.0,32256.307680222097,5735362122.766879,4.857516920310012,Preliminar: perdas produtivas UF e conceito de encarceramento em revisão
RO,2016,início,61354658988.35,1717911.0,35714.690102310306,3928424938.170888,6.402814395752434,Preliminar: perdas produtivas UF e conceito de encarceramento em revisão
RO,2025,fim,88729125252.33,1885507.0,47058.49686706546,5640658687.868002,6.357167020216825,Preliminar: perdas produtivas UF e conceito de encarceramento em revisão
RR,2016,início,17123853685.51,525967.0,32556.897458414693,1194506482.8814585,6.97568727705397,Preliminar: perdas produtivas UF e conceito de encarceramento em revisão
